,description
486,"Обязанности: участие в проекте по переносу БД из ORACLE в PostgreSQL и дальнейшее ее сопровождение Требования: ∙ высшее техническое образование ∙ знание технологий реляционных СУБД и синтаксиса SQL ∙ знание PL/pgSQL и других встроенных языков PostrgreSQL ∙ опыт написания хранимых процедур, функций, триггеров ∙ знание Linux Приветствуется: ∙ опыт работы с веб-сервисами (REST); ∙ опыт работы с Redmine; ∙ опыт работы с системами контроля версий Mercurial, Git; ∙ технический английский язык. Условия: ∙ официальное трудоустройство по ТК РФ; ∙ современный офис, по линии метро; ∙ работа над интересными проектами; ∙ профессиональный и личностный рост в дружной команде; ∙ конкретная категория и заработная плата определяются по результатам собеседования."
487,"Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок. Мы ищем сотрудников на удаленную работу. Если Вы умны, ответственны и заинтересованы в дополнительном заработке — зарегистрируйтесь и пройдите тестирование. Больше ничего не требуется, чтобы получить работу автором с постоянным доходом. Кому подходит работа автором Есть законченное высшее образование или Вы студент старшего курса? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:   грамотный,   дотошный,   исполнительный,   ответственный,   умеете укладываться в дедлайн.   Мы предлагаем:   Задания на выбор.   Дополнительный доход, зависящий от Ваших умений.   Свободный график.   Работать удаленно у нас — прибыльно   Всегда много новых заказов.   Оплата стабильно раз в 2 недели.   Бонус за выполненные работы.   Как стать автором Чтобы попасть в список исполнителей и начать получать дополнительный доход за заказы, просто зарегистрируйтесь и пройдите тестирование. Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике. Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени. Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.  "
488,  Твои задачи:  Проектирование структур данных; Проектирование классов управления данными; Проектирование сервисов.  Наши проекты:Автоматизация бизнес-процессов Холдинга в системах:  Управления персоналом; Управления ресурсами компании; Экономического и технического учета; Управления отношениями с клиентами; Управления бизнес-процессами; Управления IT-инфраструктурой.  Используемый стек технологий:  MS SQL Server; C# (ASP.NET Core); JavaScript (React).  Для нас важно:  Программирование на любом объектно-ориентированном языке от 2 лет; Программирование на языке C# от 1 года; Знание и умение применять на практике шаблоны проектирования ПО; Знание классических алгоритмов и структур данных; Знание основ СУБД и языка SQL; Уверенные навыки коммуникации.     
489,"Обязанности: 1. Выполнение проекта по автоматизации предприятия на базе продуктов 1С: CRM, 1C: ERP, 1С: Документооборот. 2. Разработка правил обмена между различными конфигурациями 1С. 3. Подготовка пакета документации на программные разработки. 4. Поддержка пользователей предприятия. Требования: Знание типовых конфигураций 1С: Бухгалтерия предприятия, 1С: ЗУП, 1С: Документооборот. Знание продукта 1C: ERP будет являться преимуществом. Результативность (способность достигать поставленной цели), готовность к изменениям под требования руководителя, способность решить задачу так, чтобы потом не переделывать, способность разобраться в вопросе, даже при отсутствии явных знаний. Условия:  Официальное трудоустройство, &quot;белая&quot; заработная плата, стабильные выплаты на карту 2 раза в месяц; График работы: пятидневная рабочая неделя, с 8:30 до 17:30; Работа в крупной стабильной Компании; Работа в команде профессионалов, готовых поделиться своими знаниями и научиться чему- то новому у вас; Возможность профессионального и карьерного роста!   "
490,"Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.   Кому подходит работа автором Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:   грамотный,   дотошный,   исполнительный,   ответственный,   умеете укладываться в дедлайн.   Мы предлагаем:   Задания на выбор.   Дополнительный доход, зависящий от Ваших умений.   Свободный график.   Работать удаленно у нас — прибыльно   Всегда много новых заказов.   Оплата стабильно раз в 2 недели.   Бонус за выполненные работы.   Как стать автором Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике. Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени. Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.  "
491,"Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.   Кому подходит работа автором Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:   грамотный,   дотошный,   исполнительный,   ответственный,   умеете укладываться в дедлайн.   Мы предлагаем:   Задания на выбор.   Дополнительный доход, зависящий от Ваших умений.   Свободный график.   Работать удаленно у нас — прибыльно   Всегда много новых заказов.   Оплата стабильно раз в 2 недели.   Бонус за выполненные работы.   Как стать автором Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике. Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени. Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.  "
492,"В связи с усилением позиций на рынке по осуществлению технического обслуживания информационного и инженерного оборудования, комплексной эксплуатации зданий, требуется менеджер по продажам сервисных услуг для сегмента B2B. Обязанности:  Поддержание и развитие клиентской базы; Проведение встреч/ переговоров с потенциальными и существующими клиентами; Выявление потребностей у потенциальных и текущих клиентов в услугах компании, подготовка коммерческих предложений; Подготовка и заключение договоров на предоставление услуг компании; Осуществление контроля исполнения сторонами условий договоров; Оценка и бюджетирование проектов на этапе PreSale; Ведение отчетности о проделанной работе, в том числе по выполнению планов продаж в информационных системах компании;  Требования:  Высшее техническое или экономическое образование; Опыт работы в сфере управления проектами в интеграции и строительстве; Отличные коммуникативные навыки; Уверенный пользователь MS Office; Желание развиваться в выбранном направлении;  Условия:  Заработная плата: 20000 (оклад) + 15000 (выполнение плана продаж) + % от маржинальности контрактов (обсуждается индивидуально); Возможность профессионального роста; Место работы – Красноярск, ул. Высотная; Пятидневная рабочая неделя с 08-30 до 17-30; Трудоустройство согласно ТК РФ. "
493,"Если ты уже перерос Back-end и готов возглавить команду разработкиИли у тебя уже есть опыт управления командой и компетенции в MongoDB, SQL, PostgreSQL, ASP.NET, C#, REST Мы можем предложить:- Возможность сделать лучшее отраслевое решение сначала в СНГ, а потом и в Европе- Оформление по ТК- Офис в самом центре Вологды- Молодая бодрая команда (средний возраст ~25 лет)- Стажировки в Москве на базе центрального офиса- Лекции и воркшопы с ведущими разработчиками- Много задач и возможностей вырасти профессионально. В перспективе стать руководителем офиса уровня - технического директора. В планах сделать вологодский филиал полнценным RnD-центром, который занимается написанием собственных программных продуктов, ориентированных на выполнение конкретных задач."
494,"Что мы предлагаем?  Локация – г. Новороссийск, с компенсацией аренды жилья при переезде; Работу в крупном международном системном интеграторе; Сложные, но интересные задачи; Возможность влиять на свой заработок и постоянно его увеличивать; Полностью «белую» заработную плату и официальное оформление по ТК РФ; Профессиональный и карьерный рост (тренинги, семинары, библиотека, обмен опытом с другими офисами); Сертификацию от фирмы 1С за счет компании; Мы поможем добиться твоих амбициозных целей!  Задачи, которые будут стоять перед тобой:  Разработка/изменение конфигураций на платформе 1С; Осуществление изменения настроек ПО в соответствии с функциональными требованиями пользователей; Внедрение разработанного ПО, интеграция его с существующими информационными системами; Адаптация современных методологий разработки ПО.  Чего мы ждем от тебя:  Знание типовых программных продуктов 1С. Сертификаты: 1С:Профессионал, 1С:Специалист – является Вашим преимуществом. Опыт работы от 1 года в разработке ПО на платформах 1С. "
495,"В компании ОТР открыта вакансия Технолог (направление системного анализа) На вакансию рассматриваются кандидаты, как с опытом работы (системный анализ), так и без него. Мы ищем активных, готовых расти и развиваться в рамках компании. Сотрудники в этом направление растут в области системного анализа и архитектуры. Для нас важна готовность усваивать много новой информации, разбираться в ней и реализовывать поставленные задачи. Мы рассматриваем сотрудников с работой в офисе компании в г.Москва, Нижний Новгород, Белгород, Чебоксары. Все сотрудники по этой вакансии проходят запланированное обучение, которое включено в испытательный срок. Обязанности:  Проектирование функциональных подсистем . Разработка требований к интерфейсам обмена. Подготовка проектной документации.  Требования:  Опыт работы в IT компании, системном интеграторе в должности аналитик, специалист сопровождения, тестировщик, разработчик продолжительностью от 0,5 года (желательно).  Владение основными офисными продуктами: MS Word, Excel, Visio. Знания и понимание основных понятий структуры реляционной БД. Знание и понимание процессов жизненного цикла создания ПО. Готовность работать с большими нагрузками, в стрессовой ситуации. Готовность к редким командировкам по проектной необходимости.  Желательно:  Опыт подготовки проектной, пользовательской либо регламентной документации, тестирования, сопровождения ПО, обучения пользователей. Опыт использования SQL / TSQL. Опыт использования XML.  Дополнительные требования:  Умение работать как в команде, так и самостоятельно. Пунктуальность, аккуратность в деталях. Желательно выслать пример выполненных работ (пользовательская документация, регламент, др.).  Мы предлагаем:  Работу в стабильной и успешной компании (Топ-10 в рейтинге CNews Analytics «Крупнейшие поставщики ИТ-решений для госсектора 2019»). Отличную команду, вместе с которой можно расти и развиваться. Возможность участвовать в масштабных проектах на уровне страны. Место работы: комфортный офис рядом с м.Верхние Лихоборы или м.Окружная (МЦК). Официальное оформление, оплата отпусков и больничных. Заработная плата - по результатам собеседования. Гибкий график работы (мы не контролируем ваше рабочее время, вы можете сами выбирать рабочие часы). Преимущественно команда работает с 9 (10.00) до 18 (19.00) по московскому времени. Социальный пакет (ДМС, дополнительные компенсации по обучению и туризму, изучение английского языка на льготных условиях). "
496,"В связи с запуском проектов по внедрению информационных систем управления надежностью и созданию шаблонных решений по автоматизации процессов ТОиР и системы контроля технических устройств приглашаем Архитектора Управления надежности. Основные обязанности:  Участие в проекте создания и тиражирования решения Управления надежностью в роли Архитектора по надежности. Выбор архитектурных решений в ИТ-проекте. Архитектурная проработка создаваемого продукта ИТ-проекта в соответствии с представленными функциональными требованиями. Определение необходимости и выбора вариантов интеграций ИТ-систем. Контроль исполнения архитектурных решений в ИТ-проекте. Контроль ИТ-архитектуры продукта ИТ-проекта на соответствия требованиям информационной безопасности. Обеспечение архитектурной поддержки ИТ-проекта в выявлении архитектурных рисков, выборе технологии/платформы реализации, оценке ФТТ.  Архитектор отвечает:  За техническое качество реализации продукта ИТ-проекта. За соответствие продукта ИТ-проекта утвержденной проектной документацией. За принятые решения в сфере компетенции Архитектуры.  Основные требования:  Знание решения GE APM Classic (ранее GE Meridium APM). Знание методологий RBI, RCM, RCA, FMEA. Знание бизнес-процессов крупных вертикально интегрированных компаний в области Управления надежностью и ТОиР. Желательно знание SAP PM / IBM Maximo или других EAM систем. Знание и умения использовать группу ГОСТ Р 27.001/003/301/606 «Надежность в технике. Управление надежностью». Знание и умение использовать ГОСТ 55000. Знание методологий Aris, eEPC, BPMN. Приветствуется знания озвученных областей на платформе 1С.  Условия:  Оформление в штат в соответствии с ТК РФ (оплачиваемый отпуск, больничный); Конкурентоспособная заработная плата (обсуждается по результатам собеседования); Соц.пакет: с первых дней работы Вы получаете программу ДМС со стоматологией и корпоративную мобильную связь; Возможность расти как вертикально, так и повышать уровень своих профессиональных и личностных навыков; Внутреннее и внешнее обучение: посещение профильных конференций и тренингов; Место работы: м. Беговая, бизнес-центр &quot;NordStar&quot;. "
497,"Обязанности:  работа в команде профессионалов в области разработки программного обеспечения проектирование архитектуры создаваемых решений, поиск и анализ возможных вариантов решений технически сложных и интересных задач  подготовка пояснительных записок к тех.проекту (подготовка технической документации)   подготовка презентаций для заказчика   Требования:   опыт разработки на Java от 3х лет   знание Java 1.8+   знания и практический опыт использования Java в нагруженных многопоточных микросервисных приложениях, Spring / Spring boot   понимание основных принципов работы реляционных СУБД: транзакционность, индексы, целостность данных, желательно PostgreSQL   опыт работы в команде, практика использования систем контроля версий, Continuous Integration/Delivery   приветствуется опыт работы с современными архитектурами (Apache Ignite, Apache Kafka) и NoSQL БД.   Условия:  Конкурентная белая З/П, обсуждаемая индивидуально по итогам собеседования Оформление по ТК РФ, оплачиваемый отпуск, больничный лист Возможности профессионального и карьерного роста Соц.пакет после года работы в компании (ДМС, туризм, обучение) Гибкий график работы (мы не контролируем ваше рабочее время, вы можете сами выбирать рабочие часы). Преимущественно команда работает с 9 (10.00) до 18 (19.00) по московскому времени. Варианты можно обсудить непосредственно со своими будущими коллегами и руководителем. "
498,"Требования:  Высшее техническое образование. 1) Умение работать с .NET, в первую очередь c C#, а так же с ASP .NET.2) Умение работать с WPF версткой.3) Знание среды VS, средств отладки, ReShart, Unit Test.4) Работа с MSSQL, проектирование БД, написание и отладка запросов.5) Умение разбираться в чухом коде, работать в команде.6) Умение работать с контролем версий, в первую очередь 。HG.Уверенное знание С#.  Приветствуются знания:  Технологий OLAP (Microsoft) Сред генерации отчетности (Crystal Reports, Business Objects, MS Reporting Services) Технологий построения распределенных приложений (DCOM / COM+, .Net Remoting, MSMQ, Web Services)  Обязанности:  Участие в разработке корпоративных информационных систем в области управленческого учета, финансово-экономического анализа и моделирования на платформе .NET (c#, . asp.net, web services). Использование технологий: OLAP. СУБД: MS SQL Server. Готовность анализировать и поддерживать существующий код. Оптимизация сложных SQL запросов.  Условия:  Заработная плата Медицинская страховка "
499,"Группа «Кронштадт» — российская компания, специализирующаяся на разработке и производстве наукоемких решений в море, на земле и воздухе. В рамках нового проекта мы разрабатываем web-сервис, который является платформой обеспечения информацией (включая геопространственные данные), обработки, моделирования, поддержки принятия решений и многое другое. В департаменте также разрабатываем различные системы моделирования и тренажеры. У нас продуктовая разработка, гибкие методологии, построенные и постоянно совершенствующиеся процессы контроля качества и CI/CD. Для участия в наших проектах приглашаем Ведущего инженера (Проектирование АСУ) Что предстоит:  Участвовать в разработке и техническом проектировании автоматизированных информационных систем (АС) и программно-аппаратных комплексов (ПАК). Организовывать сбор исходных данных для разработки и технического проектирования АС и ПАК. Разрабатывать научно-технические решения, проектов, КД, ЭД. Изучать специальную литературу и другую научно - техническую информацию, достижения отечественной и зарубежной науки и техники и проведить анализ всей поступающей от других организаций и предприятий документации с целью использования при техническом проектировании АС и ПАК. Составлять разделы отчётов о выполненной работе. Участвовать в организации проведения испытаний, и проведение анализа их результатов. Участвовать в пуско-наладочных работах, ввода в эксплуатацию изделий на объектах Заказчика. Руководить инженерами, участвующими разработке и техническом проектировании АС и ПАК.  Наши требования:   Высшее техническое образование в области АСУ или информационных систем.   Опыт работы по специальности от 5-ти лет.   Знания и умение применять требования действующих стандартов (ГОСТ 34 и 19), технических условий, положений и инструкций по составлению и оформлению технической документации.   Знания и умение разрабатывать протоколы информационного и технического взаимодействия с внешними автоматизированными системами.   Опыт разработки КД и ЭД автоматизированных и информационных систем.   Владение основными офисными продуктами MS Word Excel, Visio, PowerPoint, умение применять стили в разработке документов.   Творческий подход к поставленным задачам.   Готовность к периодическим (редким) командировкам.   Ответственность и инициативность.       Для нас будет являться большим преимуществом:    Знание систем военного назначения взаимодействующих с разрабатываемой автоматизированной информационной системой.   Опыт администрирования ОС на базе Astra Linux, Debian Linux RedHat Enterprise Linux от 3-х лет.   Опыт работы с СУБД PostgreSQL, MySQL.   Мы предлагаем:  Участие в разработке уникального сложного продукта Рабочее пространство в СПб. (ст.м.Василеостровская) Гибкий подход к графику работы Соблюдение всех норм ТК РФ Добровольное медицинское страхование Финансовая поддержка от компании при значимых событиях в жизни Крытая велопарковка + душ Лаунж-зона с игровой приставкой и возможностью полежать в гамаке Возможность играть в настольный теннис с коллегами в перерывах Возможность проходить обучение, повышать квалификацию, участвовать в выставках и профильных мероприятиях "
500,"Мы занимаемся разработкой ПО на заказ — в основном для компаний из США и Западной Европы. Нас около 600 человек, мы работаем в 5 офисах: центральный офис в Санкт-Петербурге, офисы разработки в Таганроге, Ростове-на-Дону и Минске, а также офис продаж в Великобритании. Наши заказчики — крупные международные компании, лидеры в сферах обучения и сертификации, фармацевтики, здравоохранения, управления предприятием, медиа и безопасности. Большинство наших проектов — долгосрочные, и мы следим за тем, чтобы нам было удобно развивать их и поддерживать. Для этого мы применяем практики code review, architecture review, static code analysis, CI/CD, automated testing. В команду, работающую над решениями для российских и зарубежных заказчиков, требуется DevOps Engineer. Предстоит унифицировать и автоматизировать СI/CD процессы для американской фармацевтической компании; декомпозировать группу монолитных сервисов для крупной российской авиакомпании. На этой позиции Вас ожидает:  проектирование, настройка и сопровождение инфраструктуры отказоустойчивого веб-хостинга; постоянное взаимодействие с командами разработки и сетевого администрирования; настройка и сопровождение инструментов деплоймента, мониторинга; решение проблем, связанных с работой окружений (development, test, production).  Мы ожидаем от Вас:  опыт работы с веб-хостинговым окружением от 3 лет; опыт работы с Kubernetes, Docker; опыт работы с веб-серверами (Tomcat / Apache / Nginx); знание ОС Linux; знание скриптового языка программирования (Bash / Ruby / Python и т.д.); владение инструментами и техниками мониторинга (Azure App Insights, Zabbix, Dynatrace и др.); понимание CI/CD, уверенные знания Git, Teamcity; разговорный и письменный английский на уровне не ниже Intermediate.  Будут плюсом:  опыт работы с сетями, знание TCP/IP, DNS, firewall, балансировщиков нагрузки (Nginx, F5); знание систем управления конфигурацией инфраструктуры (желательно Chef); знание и понимание принципов работы облачных сервисов: MS Azure / AWS / GCP.  Работа в Аркадии — это:  официальное оформление, белая зарплата, отпуск согласно ТК РФ; гибкий график работы; ДМС со стоматологией, 100% оплата больничных, еженедельный приём врача-терапевта прямо в нашем офисе; достойная заработная плата; дружная команда и интересные задачи; возможности профессионального роста; посещение тренингов, конференций, прохождение сертификаций, курсы английского языка в офисе; внутренние семинары по обмену знаниями; работа в современном и комфортном офисе: вело- и автопарковки, душевые, оборудованная столовая, чай, кофе, фрукты, игровой клуб с кикером, пинг-понгом, видео- и настольными играми; удобные и современные рабочие места; корпоративные занятия спортом, командные тимбилдинги;   релокационный бонус в размере месячной зарплаты для иногородних кандидатов при переезде. "
501,"Крупная международная компания в сфере производства ищет Инженера по автоматизации производства.  Обязанности:   Обеспечение бесперебойной работы оборудования;   Улучшение технологического процесса и модернизация оборудования;   Техническое обслуживание производственных линий и оборудования;   Автоматизация новых схем и операций;   Участие в инновационных проектах.   Требования:   Образование: высшее техническое;   Опыт работы: от 1 года на аналогичной должности;   Опыт работы в области промышленной автоматизации, опыт программирования ПЛК (любых), знание промышленной электроники, механики, гидравлики;   Уверенный пользователь ПК, Exсel, Power Point, Word;   Дополнительные требования: умение работать в команде, творческий подход к работе, целеустремленность, быстрая обучаемость   Условия:  Сменный график работы; Питание за счет компании; ДМС; Дополнительное обучение; Подарки сотрудникам и их детям. "
502,"Место работы г. Санкт- ПетербургРуководитель направления выступает в роли бизнес партнера при работе с блоком разведки и добычи. На этой позиции у вас будет возможность реализовывать бизнес задачи производственного подразделения (геолого разведка, бурение, добыча, капитальное строительство) через совместную продуктовую разработку. Обязателен опыт продуктовой разработки в направлении геолого разведка, бурение, добыча! Круг задач: Формировать совместно с заказчиком бизнес требования Создавать образ продукта на основании бизнес требований, границ MVP, создание дорожной карты реализации Формировать совместно с коллегами команду для реализации Управлять взаимоотношениями с внутренним заказчиком и командой реализации Координировать релизный цикл портфеля продуктов совместно с менеджером портфеля, владельцами продуктов и руководителями разработки Производить оценку рыночного потенциала и востребованности создаваемых продуктов на внешнем рынке   Требования: Умение выстраивать эффективные и доверительные отношения с заказчиком Опыт сбора и обработки потребностей заказчика, преобразования потребности в бизнес требования и дорожную карту Понимание жизненного цикла развития ИТ решения Понимание актуальных тенденций в ИТ технологиях и современного технологического стека Умение сфокусироваться на достижении ценности для бизнеса и формулировать их в виде задач для команды разработки Желательно Иметь понимание о процессах в нефтегазовой индустрии Иметь опыт работы с промышленными компаниями со стороны вендора или интегратора Условия: Место работы г.Санк- Петербург. Работа в стабильной, динамично развивающейся компании Перспектива профессионального роста, возможность обучения ДМС, страхование жизни Годовой бонус по результатам деятельности Уровень заработной платы обсуждается по итогам собеседования"
503,"Требования к кандидатам:  Опыт работы в качестве Консультант / Бизнес-аналитика от 3 лет; Оконченное высшее образование (технический / экономический / IT профиль); Опыт работы с инструментами описания и реинжиниринга бизнес-процессов: Visio, ARIS и т.д.; Знание методологий описания бизнес-процессов (EPC, IDEF0, DFD, ARIS, BPMN и др.); Предпочтительно наличие опыта сфере финансов, страхования или ритейле; Командный игрок. Работа в качестве аналитика на проектах является преимуществом; Умение диагностировать проблему и находить оптимальные пути решения; Способность к анализу поступающих требований; Владение ПК и пакетов основных офисных программ на уровне продвинутого пользователя; Развитые навыки коммуникации и умение отстаивать свою позицию; Аналитический склад ума, ответственный подход к работе и нацеленность на результат.  Должностные обязанности:  Описание и формализация бизнес-процессов (проведение интервью с бизнес - пользователями, анализ и систематизация полученных сведений); Анализ и реинжиниринг действующих бизнес-процессов в компании; Оформление бизнес-требований к доработкам / разработкам IT-систем / модулей; Формирование тестовых сценариев и проведение тестирования функционала IT-систем; Написание пользовательских тест-кейсов, программы и методики испытаний информационных систем/модулей; Написание регламентных документов (рабочие инструкции, руководства пользователей, инструкции); Оформление презентации и подготовка отчетов.  Условия:  Работа в компании – лидере страхового рынка России, входящей в ТОП-100 Российских компаний; Полное соблюдение норм Трудового Кодекса РФ; Уютный и современный офис в 3-х минутной доступности от м. Киевская; «Белая» заработная плата на карточку 2 раза в месяц; Корпоративные скидки на страховые продукты (авто страхование, ВЗР и т.д.); Корпоративные скидки на фитнес, дома отдыха, гостиницы, книги и др.; Проведение Welcome-тренинга для каждого нового сотрудника в 1-ый месяц работы; Электронная библиотека с более чем 1000 книг на самые актуальные темы современного бизнеса, науки и личностного развития, включая мировые бестселлеры и доступом в оффлайн режиме с любого мобильного устройства. "
