Number;"1.274 requirements"
1089;"Поддержание работоспособности оборудования узлов доступа к сети интернет филиала, совокупность которых обеспечивает предоставление услуг доступа к сети интернет клиентам общества"
1090;"Администрировать и пользоваться средствами компьютерной и вычислительной техники, коммуникации и связи"
1091;"Работать с программами microsoft word. microsoft excel,microsoft outlook. microsoft visio, internet, электронный документооборот эвридок"
1092;"Высшее образование"
1093;"Специальность: автоматизация и управление. информационные системы. вычислительная техника и программное обеспечение. математическое и компьютерное моделирование."
1094;"Стаж работы по специальности не менее 1 года"
1095;"Знать принципы работы, технические характеристики, конструктивные особенности, используемых технических средств, материалов и их свойства"
1096;"Разработка и доработка интерфейса и объектов автоматизированной системы компании в соответствии с запросами пользователей"
1097;"Разработка форм, отчетов и процедур"
1098;"Написание запросов различной сложности"
1099;"Подготовка выгрузок / загрузок из системы в форматах, требуемых сторонними субд, федеральными системами и для веб-служб"
1100;"Администрирование, оптимизация запросов, процедур"
1101;"разработка решения по автоматизации с использованием технологии rpa (robotic process automation); "
1102;"участие в проектах по автоматизации; "
1103;"Составление функциональных схем.   "
1104;"Высшее профессиональное образование, техническое / математическое направление;"
1105;"Опыт работы в данной должности не менее 1 года."
1106;"Управление проектами по разработке архитектуры программных решений;"
1107;"Анализ требований к информационной системе;"
1108;"Разработка архитектуры программных решений;"
1109;"Разработка концепций интеграции данных, взаимодействия компонентов программного обеспечения;"
1110;"Разработка технической и проектной документации;"
1111;"Организация и координация работы проектной группы;"
1112;"Контроль процесса и сроков разработки;"
1113;"Участие во внедрении, тестировании и сопровождении программных продуктов."
1114;"Высшее образование (it/техническое)"
1115;"Широкий it-кругозор: знание технологий, программных продуктов, сетевого оборудования"
1116;"Знание архитектуры современных программных приложений"
1117;"Знание методологий проектирования по"
1118;"Знание английского языка на уровне чтения технической документации"
1119;"Опыт программирования"
1120;"Опыт постановки технических заданий"
1121;"Опыт интеграции различных информационных систем"
1122;"Наличие профессиональных сертификатов"
1123;"Опыт разработки архитектуры сложных приложений"
1124;"Наличие завершенных проектов (в роли системного архитектора/руководителя проекта)"
1125;"Опыт реализации крупных проектов"
1126;"Опыт работы системным архитектором от 5 лет"
1127;"Опыт разработки проектной документации в соответствии с гостами"
1128;"Опыт работы с bpm.online (желателен)"
1129;"Английский - чтение технической документации;"
1130;"Сбор, анализ и формализация требований;"
1131;"Разработка и описание бизнес-процессов (bpmn 2);"
1132;"Проектирование экранных форм;"
1133;"Разработка проектной документации;"
1134;"Постановка задач на разработку;"
1135;"Функциональное тестирование."
1136;"Глубокое понимание методологий разработки (agile, waterfall) и жизненного цикла по;"
1137;"Опыт работы с bug-трэкинговыми системами (jira agile, youtrack и др.);"
1138;"Опыт обследования объекта автоматизации;"
1139;"Опыт разработки документации (тз, пми, brd и др.);"
1140;"Опыт проектирования экранных форм (ms visio, balsamiq mockups и др.);"
1141;"Опыт работы с субд (ms sql, oracle, mysql, postgresql и др., базовые знания sql);"
1142;"Знание нотаций описания бизнес-процессов (bpmn, uml, idef0 и др.)."
1143;"разработка бизнес логики (backend) на sql сервере; "
1144;"разработка процедур и запросов, оптимизация запросов и безопасности миграций; "
1145;"принимать участие в планировании архитектуры сервисов бд; "
1146;"решение инцидентов связанных с mssql бд; "
1147;"администрирование баз данных на платформе mssql (обеспечение отказоустойчивости, резервное копирование, управление доступом, оптимизация запросов); "
1148;"тестировать и внедрять новые технологии для повышения качества сервисов бд; "
1149;"осуществлять мониторинг, оперативно реагировать и устранять аварийные ситуации. "
1150;"опыт работы с субд mssql в качестве разработчика; "
1151;"опыт оптимизации запросов; "
1152;"опыт работы с высоконагруженными системами; "
1153;"желание постоянно учиться и развиваться; "
1154;"Вашим преимуществом будет опыт разработки на delphi, опыт разработки на c#.net, так же будет плюсом знание node.js."
1155;"Знание и практический опыт разработки моделей машинного обучения"
1156;"Знание инструментов и теории обработки текстовой информации"
1157;"Профильное высшее образование в области технических наук, физики, математики"
1158;"Опыт использования gitlab, docker"
1159;"Знание python (специальные библиотеки pandas, tensorflow, catboost)"
1160;"Знание sql"
1161;"Знание технического английского языка"
1162;"Знание методологии обработки данных crisp-dm"
1163;"Опыт работы с 1с 8.3 не менее 2-х лет."
1164;"Хорошие знания зуп , бухгалтерия, унф на уровне доработки конфигурации."
1165;"Образование – приветствуется высшее экономическое или техническое."
1166;"Подтвержденный опыт внедрения автоматизированных информационных систем на производственных предприятиях от 3-х лет, портфолио проектной документации."
1167;"Отличное знание предметной области – регламентированный, управленческий учет, управление производством, бюджетирование – желательно."
1168;"Приветствуются навыки разработчика 1с – отчеты, обработки переноса данных, интерфейсы рабочих мест."
1169;"Аналитические способности и умение работать на результат."
1170;"Нацеленность на долгосрочное сотрудничество."
1171;"Администрирование судовой локально-вычислительной сети."
1172;"Администрирование серверов под управлением oc windows server, ubuntu linux."
1173;"Установка, настройка системного и прикладного программного обеспечения."
1174;"Техническая поддержка пользователей лвс: консультирование, устранение неисправностей арм."
1175;"Обеспечение бесперебойной работы ит инфраструктуры судна. обеспечение антивирусной защиты."
1176;"Обеспечение выполнения требований руководящих документов и политик в сфере информационной безопасности."
1177;"Резервное копирование информации, судовых информационно-управляющих систем."
1178;"Составление и актуализация перечня оборудования, относящегося к ит номенклатуре."
1179;"Формирование заявок на снабжение."
1180;"Подготовка технических обоснований приобретения необходимого оборудования и программного обеспечения, проектов ввода (замены) в эксплуатацию."
1181;"Высшее образование (профильное);"
1182;"Опыт работы на аналогичной позиции;"
1183;"Понимание процесса разработки по и средств тестирования (виды и методы);"
1184;"Знание языка программирования python;"
1185;"Владение английским языком на уровне чтения документации."
1186;"Проверка готового продукта и отдельных компонент на соответствие изначальным требованиям;"
1187;"Проведение интеграционных тестирований;"
1188;"Разработка автотестов;"
1189;"Составление планов тестирования;"
1190;"Постоянное взаимодействие с разработчиками."
1191;"Доработка систем и разработка модификаций ms dynamics ax 2009, 2012"
1192;"Высшее техническое образование, ит"
1193;"знание внутренней архитектуры ms dynamics ax "
1194;"знание стандартного функционала модулей: расчеты с клиентами, расчеты с поставщиками, главная книга, производство (желательно) "
1195;"ведение качественной разработки в ms dynamics ax 2009, 2012, знание best practice разработки в ms dynamics ax "
1196;"уверенные навыки объектно-ориентированного программирования "
1197;"умение быстро разбираться в чужом коде "
1198;"Разработка программных модулей, участие в разработке документации;"
1199;"Исправление дефектов;"
1200;"Участие в проектных встречах и статусах;"
1201;"Взаимодействие с проектной командой для решения поставленных задач (архитекор и тимлид, менеджер проекта, аналитики, тестировщики, devops и другие разработчики);"
1202;"Взаимодействие со смежными подразделениями."
1203;"Высшее образование;"
1204;"Опыт разработки .net framework от 3-х лет;"
1205;"Знание принципов solid, паттернов проектирования, приёмов объектно-ориентированного проектирования;"
1206;"Опыт использования wpf;"
1207;"Опыт использования di/ioc-контейнеров: autofac/unity container/ninject/и т.д.;"
1208;"Понимание принципов многопоточности, параллельного и асинхронного выполнения кода: планировщик ос, примитивы синхронизации, контекст синхронизации, tpl, async/await;"
1209;"Готовность/способность разбираться в legacy-коде."
1210;"Знание sql и механизмов работы рсубд."
1211;"Внедрение программно-аппаратных комплексов на объектах транспортной инфраструктуры, пассажирского транспорта"
1212;"Проведение испытаний (автономных, комплексных), проверок, тестирования автоматизированных систем и программно-аппаратных комплексов"
1213;"Участие в подготовке программ и методик проведения испытаний, тестирования по категориям изделий"
1214;"Анализ результатов испытаний, формирование перечня доработок, устранения замечаний к изделиям"
1215;"Контроль устранения выявленных замечаний к программным, программно-аппаратным комплексам"
1216;"Подготовка отчетности о результатах проведения испытаний/ участие в выработке технических решений, путей развития и модернизации аппаратно-программных комплексов, программных продуктов"
1217;"Умение работать в коллективе"
1218;"Высокая самостоятельность в работе"
1219;"Способность аргументировано доносить свою позицию"
1220;"Здоровый перфекционизм, коммуникабельность и работа на результат"
1221;"Высшее техническое образование"
1222;"Знание основных промышленных стандартов передачи данных и понимание принципов их работы (интерфейсы ethernet, rs-232, rs-485, can, 1-wire и т.п.)"
1223;"Базовые знания в электронике и схемотехнике"
1224;"Понимание и чтение технической документации (программы и методики испытаний по гост 19, гост 34)"
1225;"Написание sql запросов для системы отчетов в соответствии с бизнес-логикой;"
1226;"Разработка хранимых процедур и триггеров в бд"
1227;"Оптимизация sql запросов, ускорение их работы."
1228;"Знание sql на уровне составления и оптимизации запросов;"
1229;"Умение писать хранимые процедуры и триггеры, работать с коллекциями и курсорами;"
1230;"Опыт работы с одной из промышленных бд: oracle, ms sql, postgresql;"
1231;"Опыт работы от 1 года;"
1232;"Анализ договоров и формирование перечня обязательств для загрузки в систему управления обязательствами проекта;"
1233;"Контроль исполнения обязательств проекта;"
1234;"Формирование отчетности о статусе исполнения обязательств проекта;"
1235;"Мониторинг и прогнозирование хода исполнения контрактных обязательств по проекту;"
1236;"Отслеживание и регистрация изменений контрактных обязательств;"
1237;"Обеспечение функционирования системы управления обязательствами на проекте;"
1238;"Организация претензионной работы."
1239;"Высшее техническое /юридическое образование;"
1240;"Договорной опыт работы, в том числе на английском языке;"
1241;"Контроль исполнения договорных обязательств и ведение претензионной работы."
1242;"Выполнять работы по техническому и организационному обеспечению бесперебойного и качественного функционирования оборудования и устройств систем (или отдельных подсистем) средств диспетчерского и технологического управления (сдту)-всех видов, каналами связи и передачи данных асу;"
1243;"Обеспечивать надежную работу пароводянного тракта тэс, установку по вводу химических реагентов в питательную воду;"
1244;"Участвовать в расследовании причин технологических нарушений в работе оборудования асутп, разработке и выполнении мероприятий по их предотвращению;"
1245;"Подготавливать проекты планов и графиков ремонта, проведения ревизий, выполнения профилактических работ на оборудовании и устройствах асутп, контролировать выполнение утвержденных планов и графиков;"
1246;"Участвовать в проведении работ по модернизации и ремонту оборудования и устройств асутп на тэс;"
1247;"Подготавливать предложения, участвовать в подготовке технических условий и исходных данных для проектирования, рассматривать и подготавливать замечания по проектам развития и модернизации, осуществлять надзор за проведением монтажа новых и реконструируемых асутп, принимать участие в приемке их из капитального ремонта и монтажа."
1248;"бизнес – аналитик, проектное управление. опыт внедрения систем управления проектами (методология + ит-решение), участия в создании проектных офисов, руководства проектами. "
1249;"координатор/администратор/методолог проектных офисов, имеющих в управлении/поддержке не менее 10 проектов; офисов управления программами и портфелями. "
1250;"может быть преимуществом опыт участия: - в крупных строительных проектах; - в проектах внедрения организационных изменений. "
1251;"знания в области проектного управления. "
1252;"желательнонавыки анализа и интерпретации информации. "
1253;"навыки ведения деловой переписки, устного и письменного общения, высокий уровень грамотности. "
1254;"умение составлять справки, отчеты, готовить по профилю своей деятельности проекты решений, докладов, презентационные материалы, в т.ч. для высшего руководства. "
1255;"умение писать регламентирующие документы. "
1256;"высшее образование "
1257;"английский язык на уровне intermediate "
1258;"уверенный пользователь пк и ms office (excel, powerpoint, visio); знания microsoft project professional 2013-16; "
1259;"коммуникабельность, стрессоустойчивость, способность работать в условиях жесткого дедлайна, аналитическое мышление, навыки деловой переписки, подготовки и проведения презентаций, обучения работников "
1260;"Обслуживание упаковочного, этикетировочного оборудования."
1261;"Запуск, обслуживание и контроль производственной линии."
1262;"Ремонт электронной части оборудования. мелкий слесарный ремонт."
1263;"Создание этикеток. ведение базы данных продукции."
1264;"Формирование суточных отчетов."
1265;"Отличное владение компьютером."
1266;"Навыки работы со слаботочными сетями."
1267;"Навыки ремонта электронной техники."
1268;"Желателен опыт работы в аналогичной должности."
1269;"Выполнение проектирования и согласования рабочей документации по системам автоматизации"
1270;"Проведение шеф-монтажных, пусконаладочных, приемосдаточных работ заказчику"
1271;"Высшее техническое образование"
1272;"Знание eplan, autocad, microsoft office обязательно"
1273;"Знание основ электротехники, схемотехники"
1274;"Опыт применения оборудования siemens, schneider electric, allen-bradley и др."
1275;"Все необходимые операции по внедрению программного беспечения у заказчика, в том числе: установка и настройка орс-серверов, шлюзов данных, scada, обучение персонала заказчика;"
1276;"Сопровождение по до этапа его передачи в отдел сервисного сопровождения;"
1277;"Добавление новых объектов на scada-сервер заказчика;"
1278;"Сбор и систематизация требований по доработкам по от заказчиков;"
1279;"Подготовка предложений и замечаний по доработке по;"
1280;"Непосредственное участие в доработках пользовательского по;"
1281;"Участие в подготовке эксплуатационной документации."
1282;"Понимание принципов построения систем асутп;"
1283;"Знание основ программирования (basic, pascal и др.);"
1284;"Знание одного из продуктов scada;"
1285;"Знание основ баз данных, умение настроить ms sql server (желательно);"
1286;"Знание офисных пакетов;"
1287;"Знание графических пакетов: photoshop, gimp и т.п. (желательно);"
1288;"Знанием основ настройки и разворачивания ос;"
1289;"Умение организовать и упорядочить работу с клиентами;"
1290;"Стрессоустойчивость;"
1291;"Коммуникабельность;"
1292;"Аккуратность."
1293;"Базовый английский язык"
1294;"Поиск клиентов и выявление их потребностей;"
1295;"Сбор и анализ технико-коммерческой информации;"
1296;"Разработка технического решения и формирование технико-коммерческого предложения;"
1297;"Подготовка презентаций и проведение переговоров;"
1298;"Формирование и сопровождения договора (проекта)."
1299;"Высшее образование;"
1300;"Опыт активных продаж;"
1301;"Опыт работы в аналогичной должности (руководитель проектов, гип, менеджер продаж);"
1302;"Знание особенностей продаж в в2в;"
1303;"Готовность к длительным циклам продаж;"
1304;"Навыки проведения переговоров и презентаций;"
1305;"Будет преимуществом знания в области асу тп, технологической связи и систем электроснабжения;"
1306;"Готовность к командировкам."
1307;"управление проектами (содержание, сроки,качество, риски, коммуникации) по разработке корпоративных информационных систем "
1308;"взаимодействие с клиентами по автоматизации и адаптации проектов на базе 1с, "
1309;"внедрение ис на базе 1c для автоматизации работы порта и внутренних проектов "
1310;"управление группой разрабочиков "
1311;"регулярная отчетность руководству о статусе выполнения проектов "
1312;"управление бюджетами проектов "
1313;"персональная ответственность за достижение целей проектов в заданные сроки "
1314;"Опыт фронтенд-разработки 3+ года;"
1315;"Отличные знания javascript;"
1316;"Хорошее понимание spa на основе react/redux;"
1317;"Хорошее понимание особенностей асинхронного программирования;"
1318;"Понимание принципов функционального программирования;"
1319;"Опыт работы с git;"
1320;"Желателен опыт работы в команде, использовавшей методологию agile."
1321;"Предпроектное обследование объектов; сбор информации для проектирования"
1322;"Составление технических заданий;"
1323;"Выполнение проектных работ по слаботочным системам (скуд, опс)"
1324;"Формирование пакета документации."
1325;"Уверенный пользователь ms office, знание и навыки работы в программе autocad;"
1326;"Знание нормативной базы в области безопасности зданий и сооружение, правил оформления чертежей;"
1327;"знание требований нормативных документов по проектированию, строительству и эксплуатации сетей связи; "
1328;"Анализ бизнес-процессов компании - сбор и подготовка требований на автоматизацию,"
1329;"Участие в проекте автоматизации основного производственного учета на базе 1с erp усо 2.х,"
1330;"Проектирование архитектуры комплекса учетных, производственных и поддерживающих ис компании,"
1331;"Разработка технических заданий по автоматизации бизнес-процессов и доработке типовых конфигураций 1с,"
1332;"Тестирование разработанного функционала,"
1333;"Разработка инструкций, обучение пользователей,"
1334;"Консультационная и методологическая поддержка пользователей."
1335;"Высшее образование,"
1336;"Опыт работы в аналогичной должности не менее 3-х лет,"
1337;"Знание управленческого и бухгалтерского учета, производственного строительного учета, бюджетирования и казначейства, основных бизнес-процессов строительной/девелоперской компании и документооборота,"
1338;"Знание функционала 1с конфигураций - &quot;1с erp&quot;, &quot;1с бухгалтерия 3.х&quot;, &quot;1с бит-финанс на базе бп 3.х&quot; (желательно),"
1339;"Базовые знания bim-технологий (желательно),"
1340;"Опыт участия в проектах автоматизации девелоперских и строительно-подрядных организаций. наличие успешно завершенных проектов обязательно,"
1341;"Опыт участия в проектах внедрения полного цикла на платформе 1с в крупном девелопере/подрядчике строительства в качестве функционального архитектора или ведущего консультанта-методолога,"
1342;"Опыт разработки технической документации по проектам автоматизации."
1343;"Участие в сопровождении, доработке отдельных бизнес-процессов\отчётности, устранении ошибок систем sap;"
1344;"Настройка системы, тестирование и перенос доработок в продуктивную систему;"
1345;"Выполнение\ курирование процессов обучения, сопровождения, разработки инструкций\регламентов."
1346;"Высшее образование;"
1347;"Опыт внедрения sap решений по закрепленному направлению не менее 2-х лет (полной занятости);"
1348;"Участие не менее чем в одном проекте внедрения sap на крупном предприятии;"
1349;"Знание архитектуры продуктов sap erp, bi, pi, srm;"
1350;"Опыт постановки для разработок малой и средней сложности;"
1351;"Опыт подготовки операционных инструкций, обучения и поддержки пользователей, участия в миграции данных;"
1352;"Практические навыки работы с продуктами поддержки пользователей;"
1353;"Практические навыки работы с lsmw, использование механизмов анализа кода abap."
1354;"Значительный опыт использования продуктов ms office (excel, access, visio, word, powerpoint) (уровень: продвинутый пользователь);"
1355;"Уровень английского языка не ниже intermediate (b1);"
1356;"Стрессоустойчивость, ориентированность на пользователя и работу в команде;"
1357;"Готовность к командировкам (10-20% в год);"
1358;"Обеспечение инфраструктурой для организации производства;"
1359;"Формирование рабочих групп и взаимосвязей внутри структуры команды разработки;"
1360;"Планирование работ в зоне ответственности разработки: составление и поддержание в актуальном состоянии плана работ разработки (с учётом приоритетов, планов проектов по смежным направлениям, сроков и доступных ресурсов), включая работы по решению инцидентов;"
1361;"Управление ресурсами разработки: доступность ресурсов, распределение ресурсов, соблюдение сроков исполнения и обеспечение качества реализации"
1362;"Обеспечение реализации на основании регламентов и технологий производства;"
1363;"Контроль исполнения регламентов и процессов командой проекта;"
1364;"Оптимизация внутренних регламентов и процессов производства;"
1365;"Обеспечение наличия отчетности в зоне ответственности производства участникам команды проекта."
1366;"Умение планировать деятельность команды разработчиков;"
1367;"Знание основных технологий разработки программных продуктов;"
1368;"Общее представление о линейке продуктов oracle (iams, bpm, soa, osb, webcenter и прч);"
1369;"Знание инструментов jira, confluence, ms project."
1370;"Курирование разработки прототипа ис;"
1371;"Написание разделов технической документации в части разработки по (тз/фт, рабочих инструкций и т.п.)."
1372;"Разработка программного кода на платформе 1с: предприятие 8, его тестирование и отладка;"
1373;"Создание и настройка механизмов миграции между различными информационными системами;"
1374;"Сопровождение внедренных программ и программных средств;"
1375;"Разработка инструкций, методических материалов по использованию, эксплуатации программного обеспечения;"
1376;"Обучение персонала предприятий компании работе с существующими и вновь создаваемыми частями информационных систем"
1377;"Высшее инженерно-техническое образование;"
1378;"Опыт разработки программного обеспечения на базе 1с: предприятие 8 (1с: управление торговлей; 1с:бухгалтерия; 1с: управление персоналом: 1с: зарплата; 1с: управление производственным предприятием);"
1379;"Владение техникой написания запросов к базам данных;"
1380;"Опыт разработки отчетов с использованием механизмов компоновки данных;"
1381;"Опыт самостоятельной разработки сложных функциональных модулей."
1382;"Высшее техническое образование в области it;"
1383;"Базовые знания t-sql, опыт работы с ms sql server;"
1384;"Способность самостоятельно развивать свои знания в области программирования;"
1385;"Приветствуется базовый уровень c#, работа с отчетами."
1386;"Умение писать читаемый и сопровождаемый код;"
1387;"Умение разбираться в чужом коде;"
1388;"обеспечение бесперебойной работы оборудования; "
1389;"улучшение технологического процесса и модернизация оборудования; "
1390;"техническое обслуживание производственных линий и оборудования; "
1391;"автоматизация новых схем и операций; "
1392;"участие в инновационных проектах. "
1393;"образование: высшее техническое; "
1394;"опыт работы: от 1 года на аналогичной должности; "
1395;"опыт работы в области промышленной автоматизации, опыт программирования плк (любых), знание промышленной электроники, механики, гидравлики; "
1396;"уверенный пользователь пк, exсel, power point, word; "
1397;"дополнительные требования: умение работать в команде, творческий подход к работе, целеустремленность, быстрая обучаемость "
1398;"Опыт подготовки коммерческих предложений и презентаций."
1399;"Навыки переговоров, грамотной аргументации своей точки зрения и достижения целей переговоров;"
1400;"Способность быстро ориентироваться в новых условиях и усваивать большой объем информации;"
1401;"Активная жизненная позиция, коммуникабельность, умение договариваться с людьми."
1402;"Выполнение работ по проектированию систем связи и безопасности (свн, скуд, сотс, ссои, скс, лвс, сктв) на стадиях п и р. объекты промышленного и гражданского строительства, транспортной инфраструктуры."
1403;"Предпроектное обследование объектов."
1404;"Разработка концепции реализуемых систем и обоснование принимаемых проектных решений."
1405;"Разработка чертежей и текстовых документов по проекту, отдельных разделов (частей) проекта."
1406;"Составление спецификаций, ведомостей объемов работ."
1407;"Обеспечение соответствия разрабатываемых проектов техническому заданию, государственным стандартам, сводам правил, техническим условиям и другим нормативным документам."
1408;"Выдача технических (строительных) заданий архитекторам и проектировщикам смежных направлений, увязка своего раздела со смежными разделами проекта."
1409;"Внешнее взаимодействие по выполненному проекту: участие в прохождении экспертизы, авторский надзор."
1410;"Высшее техническое образование;"
1411;"Работа в крупных проектах по автоматизации бизнес-процессов, учета и отчетности компаний"
1412;"Разработка пользовательской документации (инструкций)"
1413;"Разработка нового функционала и доработка имеющегося в нестандартных и стандартных конфигурациях 1с: erp, упп"
1414;"Настройка обмена данными с внешними учетными системами (например - с внешними срм-системами)."
1415;"Настройка обмена данных с системой отчетности biplane24."
1416;"Опыт программирования в среде 1с от 4х лет."
1417;"Опыт программирования на платформе 1с: 8.х на управляемых формах и разработки отчетов с применением скд"
1418;"Аналитический склад ума и высокая скорость мышления."
