;Required skill
1923;консультирование клиентов по общим вопросам;2
1924;работа с заказом лицензий;2
1925;помощь ведущему специалисту отдела продаж;2
1926;желание развиваться в it сфере;2
1927;самостоятельность и активность;2
1928;опыт работы в продажах(минимальный) или с клиентами;2
1929;аудит системы бизнес-процессов предложения по улучшению;2
1930;задачи по интеграции различных систем;2
1931;лидирование проектов координация участников отслеживание статуса;2
1932;планирование разработки или восстановления требований к информационной системе или бизнес-процессу разработка технических заданий анализ рисков;2
1933;выявление формализация и документирование требований к ис или бизнес-процессу;2
1934;формирование технических заданий для разработчиков;2
1935;организация и поддержка процессов умение общаться с бизнесом выработка решений (взаимодействие с отделами: it финансы юристы логистика и др);2
1936;активное привлечение клиентов;2
1937;доработка стандартной и разработка новой функциональности системы киас (pl/sql oracle);2
1938;анализ технических требований к системе;2
1939;тестирование разрабатываемой функциональности;2
1940;поддержка текущих процессов;2
1941;опыт работы в качестве консультанта по программам 1с;2
1942;личные качества: ответственность неконфликтность;2
1943;подтверждённый опыт управления от 5 лет опыт работы в производственно-торговых компаниях;2
1944;опыт руководства ит отделом (системные администраторы программисты и др);2
1945;умение выстраивать взаимоотношения в командах внешних и внутренних разработчиков по;2
1946;умение выстраивать коммуникации между сотрудниками и ит специалистами (быть что называется переводчиком);2
1947;готовность брать ответственность за предлагаемые решения сроки и качество;2
1948;доукомплектовать и организовать работу команды разработчиков;2
1949;сформулировать и распределить задачи;2
1950;выступить архитектором и бизнес-партнером по внедрению решения;2
1951;выстроить эффективную коммуникацию с заказчиками и представителями поставщика решения;2
1952;опыт от 5 лет в области разработки 1с;2
1953;опыт внедрения блоков 1с бп зуп erp;2
1954;опыт общения с бизнесом (снятия потребности) и формулирования задач;2
1955;опыт управления командой разработчиков желателен;2
1956;опыт работы на руководящих должностях;2
1957;готовность работать полный рабочий день;2
1958;описание бизнес-процессов;2
1959;высшее или незаконченное высшее техническое образование;2
1960;организация сбора и сдачи отчетных документов по договору с заказчиком организация доставки брошюровки проверка публикация;2
1961;организация и контроль сдачи отчетной документации подрядчиками;2
1962;проведение анализа данных план/факт по бюджету проекта загрузки проектной команды;2
1963;ведение документооборота (договоры акты счета на оплату) с заказчиком и подрядчиками;2
1964;взаимодействие со службами заказчика с помощью системы документооборота и поручений;2
1965;взаимодействие со службами нашего бэк-офиса (администраторы проектов бухгалтерия юридическая служба служба поддержки);2
1966;организационные задачи (поддержка команды проекта в части обеспечения необходимыми ресурсами и инструментарием);2
1967;разработка статус-отчетов по проекту для заказчика;2
1968;разработка протоколов ключевых встреч с заказчиком согласование с заказчиком и публикация протоколов встреч доведение поручений до исполнителей;2
1969;обеспечивать полный цикл выполнения it-проектов: от инициации до закрытия;2
1970;управлять командой проекта;2
1971;осуществлять контроль над проектом своевременно предоставлять отчетность участвовать в переговорах и согласованиях;2
1972;разрабатывать инициирующие документы бфт тз тэо и тд;2
1973;выполнять сравнительный анализ возможностей по от разных вендоров участвовать в разработке архитектуры корпоративных систем;2
1974;распределение работы среди смежных отделов;2
1975;контроль выполнения работы;2
1976;общение а так же ведение деловой переписки с заказчиком и подрядчиком;2
1977;знание законодательных нормативно-правовых и нормативных актов норм и правил регламентирующих разработку и внедрение асутп;2
1978;знание технических экономических экологических требований предъявляемых к асутп;2
1979;организация производственного планирования;2
1980;проведение регулярных совещаний с внешними участниками проекта по ходу реализации проекта;2
1981;контроль сдачи результатов работ в эксплуатацию;2
1982;знание основ функционирования и построения асутп кипиа;2
1983;опыт модернизации или внедрения систем асутп;2
1984;опыт контроля работы подрядчиков по строительной части (заливка фундаментов простые общестроительные работы) а так же по монтажу технологического оборудования (трубопроводы насосы котельное оборудование);2
1985;ведение переговоров решение конфликтных ситуаций;2
1986;взаимодействие с подрядчиками/поставщиками;2
1987;администрирование договоров организация документооборота по договору;2
1988;планирование и контроль исполнения работ по проекту;2
1989;уверенное пользование компьютером (word excel internet почтовые программы);2
1990;работа с пакетами по управлению проектами (ms project/ primavera иные);2
1991;организация и проведение совещаний;2
1992;техническая поддержка магазинов и сотрудников офиса;2
1993;взаимодействие с другими специалистами отдела it и подрядчиками для обеспечения эффективного решения вопросов на первой линии технической поддержки;2
1994;контроль передачи чеков в офд настройка и поддержка функционирования ккм;2
1995;подготовка новых рабочих мест (установка и настройка оборудования);2
1996;поддержка актуальности базы знаний;2
1997;выполняет работу по проектированию и внедрению автоматизированных систем управления производством (асуп) на основе применения совокупности экономико-математических методов современных средств вычислительной техники коммуникаций и связи элементов теории экономической кибернетики;2
1998;осуществляет подготовку необходимых данных и участвует в составлении технического задания на проектирование асуп и ее отдельных этапов и подсистем в разработке технических и рабочих проектов;2
1999;формулирует постановку задач выполняет работу по их алгоритмизации выявляет возможности типизации решений отдельных элементов системы подготавливает предложения о применении в проектировании асуп типовых блоков и участвует в их создании;2
2000;принимает участие в работе по совершенствованию документооборота на предприятии формулирует требования к содержанию и построению технической и организационно-распорядительной документации используемой в системе автоматизированного управления производством;2
2001;принимает участие в проектах по информатизации информационных технологий  таких как : умный город умная больница;2
2002;разрабатывает технологические схемы обработки информации по установленным задачам асуп с учетом организационного и технического обеспечения по всем подсистемам;2
2003;подготавливает проекты методических материалов инструкций и другой технической документации связанной с созданием и использованием фондов информационного использования асуп;2
2004;участвует в работе по отладке опытной эксплуатации и поэтапному введению в действие комплекса технических средств асуп;2
2005;осуществляет авторский надзор и периодический контроль входящей и исходящей документации;2
2006;изучает причины отказов и нарушений в системе разрабатывает предложения по их устранению и предупреждению по повышению качества и надежности асуп;2
2007;высшее образование по специальности;2
2008;должен знать:;2
2009;задачи и содержание асуп;2
2010;порядок разработки проектов асуп и ее подсистем технических заданий технических и рабочих проектов;2
2011;экономико-математические методы;2
2012;основы теории экономической кибернетики;2
2013;средства вычислительной техники коммуникаций и связи;2
2014;порядок постановки задач их алгоритмизации;2
2015;методы определения экономической эффективности внедрения асуп;2
2016;стандарты унифицированной системы организационно-распорядительной документации;2
2017;порядок разработки и оформления технической документации;2
2018;опыт разработки проектов на reactjs;2
2019;понимание компонентного подхода в разработке веб-интерфейсов;2
2020;владение адаптивной и кроссбраузерной версткой;2
2021;умение работать с js фрейморками и библиотеками (reactjs);2
2022;знание typescript;2
2023;отличное знание javascript html5 css3;2
2024;уверенное владение git;2
2025;умение пользоваться сборщиками проектов webpack/npm;2
2026;поддержка пользователей информационных систем компьютеров и по пользователей;2
2027;выполнение работ связанных с установкой настройкой модернизацией компьютерной техники;2
2028;закупка и учёт оборудования (месторасположение списание мол контроль работоспособности прочее);2
2029;работа с корпоративной сотовой телефонией (заказ новых номеров изменение состава услуг блокировка замена сим-карт);2
2030;настройка / консультации по работе с оборудованием в офисе;2
2031;ведение / контроль счетов на оплату поставщикам;2
2032;обновление типовых учетных программ (зуп бп);2
2033;добавление новых пользователей / корректировка прав существующих пользователей в учетных системах;2
2034;консультации по работе с умц прочему внедряемому по;2
2035;формализация запросов пользователей формирование технических заданий на разработку;2
2036;высшее/высшее техническое образование;2
2037;опыт работы в роли системного администратора от 1 года;2
2038;навыки технического описания задач от пользователей;2
2039;знание пк ос windows7 желателен опыт поддержки пользователей;2
2040;знание пользовательского оборудования умение его настраивать;2
2041;знание принципов организации компьютерных сетей;2
2042;активность исполнительность ответственность способность работать с людьми;2
2043;разработка и поддержка и корпоративной информационной системы;2
2044;документирование разработка инструкций;2
2045;поддержка пользователей организации (обучение инструктирование);2
2046;разработка отчетов;2
2047;разработка по в составе коллектива разработчиков программного обеспечения;2
2048;возможен прием без опыта работы;2
2049;приветствуются навыки работы с асутп и телеметрией;2
2050;формирование отдела/ общее руководство сотрудниками отдела;2
2051;планирование текущей работы отдела и определение средне- и долгосрочных перспектив развития;2
2052;организация взаимодействия внутри отдела координирование работ расстановка приоритетов;2
2053;организация поддержки и участие в развитии систем на платформе 1с: предприятие;2
2054;реализация задач по автоматизации и цифровизации предприятия в области программного обеспечения (по);2
2055;определение потребности в программном обеспечении для предприятия;2
2056;заключение необходимых договоров для закупки программного обеспечения (по) либо услуг по консалтингу и разработке по;2
2057;взаимодействие с другими подразделениями предприятия в рамках выполнения задач отдела;2
2058;поддержка мониторинг и документирование сетевой и серверной инфраструктуры;2
2059;участие в проектах по внедрению новых платформ развитию существующих сервисов;2
2060;аудит текущего состояния оборудования и оргтехники входящей в компетенцию it отдела;2
2061;опыт разработки технической и пользовательской документации;2
2062;полная осознанность вовлеченность и заинтересованность;2
2063;глубокое чувство вкуса и эстетики;2
2064;остальное ты сам должен знать;2
2065;высшее профессиональное образование (техническое);2
2066;внедрение новых механизмов автоматизации бизнес-процессов и доработка существующих;2
2067;операционная деятельность по поддержке программного комплекса клиентов:;2
2068;обработка обращений клиентов;2
2069;приоритетов обращений;2
2070;коммуникации с клиентами;2
2071;обсуждение новых функциональных требований к системе клиента;2
2072;постановка технических требований разработчикам;2
2073;проведение тестирования системы и обучение конечных пользователей;2
2074;руководство малыми командами (2-5 человек);2
2075;коммуникация с бизнес-заказчиками решения;2
2076;отслеживание эффективности работы отдела поддержки;2
2077;анализ удовлетворенности клиентов услугами отдела поддержки;2
2078;проработка функциональной архитектуры системы;2
2079;составление тз;2
2080;разработка и поддержка в актуальном состоянии технической пользовательской документации по проекту;2
2081;управление подрядчиком и внутренней командой разработки;2
2082;оценка бюджетов и сроков выполнения проекта их последующее соблюдение;2
2083;знание методов проектного управления опыт работы с гибкими методологиями ведения проекта;2
2084;опыт работы в различных предметных областях и умение переключаться между ними (проектное управление финансы управленческий учёт закупки и снабжение операционная отчётность);2
2085;опыт написания проектной документации;2
2086;опыт внедрения и разработки информационных систем;2
2087;опыт работы на позициях руководителя проектов системного аналитика или бизнес-аналитика;2
2088;автоматизация оборудования для пищевой промышленности посредством программного обеспечения &quotproleit&quot;2
2089;программирование современных микроконтроллеров siemens;2
2090;тестирование написанного программного обеспечения;2
2091;выполнение пусконаладочных работ при запуске заводов;2
2092;ввод в эксплуатацию систем управления процессами производства;2
2093;реализация проектов направленных на развитие ит-функции и ит-процессов в крупном ритейл-бизнесе;2
2094;осуществление деятельности в соответствии с целями проекта: формирование планов проектов контроль исполнения планов проектов контроль эффективного исполнения бюджета управление рисками анализ и реализация предложений по улучшению процессов внедрения и поддержки проектов;2
2095;полный цикл работ с партнерами по ведению проектов (начиная от координации работы по согласованию и подписанию договоров заканчивая осуществлением приемки результатов);2
2096;организация передачи проектов на поддержку и координацию процесса: разработка плана передачи на поддержку согласование процессов внутри подразделений контроль исполнения передачи готовых реализаций на поддержку;2
2097;релевантный опыт управления it проектами от 3 лет (желателен опыт трансформации it-подразделения внедрения качественных it-процессов);2
2098;понимание архитектуры корпоративных и транзакционных информационных систем понимание принципов ведения совместной разработки продуктов;2
2099;знакомство с подходами itsm и библиотекой itil;2
2100;использование различных методологий внедрения проектов (waterfall agile (scrum tdd) rup);2
2101;отличные навыки коммуникации ответственность ориентация на результат;2
2102;желание интенсивно обучаться и развиваться нацеленность на результат;2
2103;опыт командной работы в удаленном режиме;2
2104;базовые знания бухгалтерского учета;2
2105;опыт работы на аналогичной должности от года;2
2106;участие в проектах по разработке цифровых решений и интеллектуальной автоматизации бизнес-процессов;2
2107;участие в мозговых штурмах по формированию гипотез для разработки/доработки решений;2
2108;описание и экономическое обоснование предлагаемых решений ;2
2109;подготовка и участие в презентациях поддержка в процессе защиты рекомендаций ;2
2110;сбор и согласование требований с заказчиком ;2
2111;разработка пользовательских сценариев ;2
2112;прототипирование интерфейсов пользователя ;2
2113;участие в описание api и протоколов ;2
2114;обследование текущих решений и формирование рекомендаций по ui/ux а также расширения функционала платформ ;2
2115;взаимодействие с командой разработки в рамках разработки технических решений ;2
2116;контроль и тестирование разработанного функционала ;2
2117;консультирование заказчика по возможностям платформ ;2
2118;контроль внедрения и аналитическая поддержка разработанного функционала ;2
2119;техническое/математическое образование ;2
2120;опыт работы от 2 лет в должности системного/бизнес аналитика ;2
2121;владение методиками обследования заказчика сбора и анализа требований ;2
2122;опыт подготовки проектной документации ;2
2123;знание case средств и нотаций моделирования предметной области (bpmn uml и тп) ;2
2124;знание принципов построения информационных систем современных информационных технологий ;2
2125;понимание жизненного цикла по ;2
2126;опыт работы с jira или подобной системой ;2
2127;знание sql ;2
2128;мотивация на итоговый результат навыки самостоятельного решения возникающих трудностей ;2
2129;отличные коммуникационные навыки ;2
2130;владение английским языком для чтения технических статей и обучающего материала ;2
2131;внимательность дисциплинированность ответственность исполнительность ;2
2132;внести ощутимый вклад в развитие крупного программного продукта erp действительно уникального не имеющего аналогов своей области;2
2133;среднее профессиональное образование;2
2134;отличные знания javascript;2
2135;управление бюджетом проекта;2
2136;работа с git;2
2137;образование: высшее техническое;2
2138;хорошее знание excel;2
2139;умение работать с большим объемом информации в режиме многозадачности;2
2140;планирование и организация проведения работ по выполнению госконтрактов;2
2141;ведение документооборота с заказчиками и контрагентами документационное обеспечение проектов подготовка коммерческих предложений (тэо);2
2142;распределение задач между участниками проектной команды планирование и контроль деятельности проектной команды обеспечение своевременного и качественного выполнения работ взаимодействие и организация работ с другими подразделениями предприятия;2
2143;организация и проведение сдачи (приемки) работ (этапов) в рамках опытно-конструкторских работ по госконтрактам;2
2144;проектирование системы защиты информации от нсд в разрабатываемых информационных системах в защищенном исполнении (участие в эскизном и техническом проектировании разработка разделов пояснительных записок в части защиты от нсд участие в испытаниях систем и устранении замечаний);2
2145;проектирование архитектуры и формирование предложений по организации информационно-технического сопряжения и взаимодействия с внешними системами разрабатываемых в рамках окр изделий (и поставляемых в рамках серийных поставок);2
2146;разработка типовых разделов проектной и конструкторской документации в части применения нсд (инструкций руководств контрольных примеров);2
2147;взаимодействие с регуляторами в области защиты информации по вопросам применения сзи от нсд;2
2148;администрирование информационных систем;2
2149;консультирование пользователей по вопросам работы в информационных системах;2
2150;обработка и регистрация входящих / исходящих документов;2
2151;знание и владение офисным по - опытный пользователь;2
2152;умение вести документооборот;2
2153;коммуникабельность умение обучаться новым технологиям;2
2154;навыки и приемы безопасной работы в сетях обработки и передачи данных;2
2155;понимание основ информационной безопасности при работе в испдн;2
2156;поиск потенциальных партнеров;2
2157;выявление потребности проведение презентаций и переговоров с заказчиками строительных объектов;2
2158;работа с проектными организациями с строительно-монтажными организациями;2
2159;подготовка деловых писем ткп заключение договоров;2
2160;развитие долгосрочных партнерских отношений;2
2161;ежедневное отражение проделанной работы в crm (bitrix);2
2162;законченное высшее образование уверенное знание пк (офисный пакет);2
2163;опыт прямых продаж сложного инженерного продукта на строительные/реконструируемые объекты от 1 года;2
2164;знание техники и технологий прямых продаж этикета делового общения;2
2165;высокий уровень самоорганизации желание зарабатывать;2
2166;выполнение установленного плана продаж;2
2167;проведение обследования предприятий с целью определения возможности унификации производственных процессов выявления функциональных потребностей проблем узких мест структуризация и анализ полученной информации от производственных служб или в результате обследования с целью определения возможности реализации функционала средствами информационно производственных систем;2
2168;классификация формализация и приоритизация требований и управление требованиями разработка тз на реализацию требований согласование со всеми сторонами;2
2169;разработка прочей технической документации: описание бп схемы бд тт инструкции руководства;2
2170;постановка задач разработчикам и участие во внедрении разрабатываемых решений контроль и отслеживание всего «жизненного цикла» (сроки тестирование опэ и тд) разрабатываемых решений приемка результатов согласно разработанному тз (или иной документации);2
2171;высшее образование в профильных технических вузах по специальности «промышленная автоматизация» и «информационные технологии» ;2
2172;опыт работы в качестве аналитика информационных систем ;2
2173;опыт работы в сфере it: с промышленными системами автоматизации (mes) или корпоративными системами (sap 1c и пр) ;2
2174;практический опыт работы с документацией (оформление структурирование) ;2
2175;навыки выстраивания коммуникации с заказчиками разработчиками пользователями ;2
2176;знание основ описания бизнес-процессов ;2
2177;понимание основных принципов проектирования и разработки по ;2
2178;понимание систем документирования ;2
2179;системный подход к выстраиванию работы ;2
2180;организаторские способности;2
2181;английский язык не ниже intermediate;2
2182;с помощью описаного алгоритма выполнять ряд действий в фейсбуке для создания официальной рекламыдействия имеют цикличный характер а так же сам алгоритм часто меняется по этому нужно нужно под это подстроится и быстро адаптироваться;2
2183;наличие более-менее мощного ноутбука на windows;2
2184;разрабатывать согласовывать и внедрять мероприятия по усилению защиты персонала имущества и материалов на объектах компании;2
2185;организовывать и координировать планирование с целью значительного снижения количества инцидентов сязанных с потерями материальных ценностей;2
2186;стандартизировать и согласовывать с заинтересованными лицами процедуры по учету хранению и перемещению материалов представляющих риск с точки зрения безопасности;2
2187;развить хорошую ситуационную осведомленность касательно обращения с материалами представляющими риск с точки зрения безопасности;2
2188;внедрять и поддерживать на высоком уровне культуру безопасности;2
2189;знание ms office;2
2190;организация работы 1-й линии технической поддержки корпоративных клиентов (салоны сети ортека офисы);2
2191;подбор и адаптация специалистов 1-й линии поддержки;2
2192;проведение обучения для сотрудников смежных подразделений по работе с обращениями клиентов;2
2193;подготовка отчетов о результатах работы подразделения;2
2194;формирование аналитических отчетов по обращениям клиентов;2
2195;автоматизация процессов service desk (разработка тз для доработки функциональных возможностей корпоративной системы);2
2196;работа со сложными и нестандартными пользовательскими запросами;2
2197;участие в процессе развития ит сервисов и процессов;2
2198;централизованное администрирование системы подсчета посетителей салонов;2
2199;опыт управления командой технических специалистов;2
2200;отличные навыки коммуникаций с клиентами и сотрудниками компании;2
2201;максимальная стрессоустойчивость умение любую потенциально конфликтную ситуацию разрешить в позитивном ключе;2
2202;способность к быстрому самостоятельному обучению;2
2203;опыт работы в технической поддержке;2
2204;хорошие технические знания в широком спектре информационных технологий;2
2205;базовые знания sql (опыт написания простых запросов);2
2206;знание основ itsm и умение применить их на практике;2
2207;приветствуется знание скриптовых языков или языков программирования;2
2208;умение применять автоматизированные системы для поддержки реализации бизнес-функций и процессов;2
2209;умение понимать суть информационных процессов и проблем конечного пользователя;2
2210;умение оценивать и хранить информацию с точки зрения уровня конфиденциальности;2
2211;управление 1-3 независимыми друг от друга проектами одновременно;2
2212;управление коммуникациями с заказчиком организация и проведение проектных совещаний;2
2213;управление проектными рисками (идентификация анализ снижение влияния контроль);2
2214;декомпозиция проекта на этапы и работы планирование работ по проекту;2
2215;формирование потребности в ресурсах для комплектования проектной команды оценка бюджета проекта;2
2216;управление проектной командой аналитиков участие в сборе и формализации требований;2
2217;участие в подборе специалистов на проект;2
2218;контроль и мониторинг работ по проекту оценка фактически выполненных работ;2
2219;проведение демонстраций и презентаций по тематике проекта;2
2220;проведение предпроектных активностей (подготовка коммерческих предложений подготовка заявок на конкурсы);2
2221;согласование и заключение договоров контроль сроков отчетности и расчетов с подрядчиками;2
2222;контроль и непосредственное участие в подготовке отчетной документации по проекту;2
2223;взаимодействие с юристами бухгалтерией контроль закупки под проект и взаиморасчетов с контрагентами;2
2224;опыт управления внешними ит-проектами от 3-х лет;2
2225;знание стандартов управления проектами;2
2226;знание стандартов и методологий разработки и сопровождения информационных системы умение применять на практике;2
2227;уверенное владение средствами командной разработки;2
2228;крайне желателен опыт в ит-компаниях;2
2229;понимание этики делового общения грамотная устная и письменная речь;2
