;Skills;Cluster
61;['опыт разработки документов: бизнес-требования функциональные требования техническое задание технико-экономическое обоснование', 'успешный опыт реализации проектов (не менее 3-х лет и не менее 3-х проектов) по интеграции разработке сопровождению и внедрению программного обеспечения в финансовой и банковской сфере', 'знать принципы работы технические характеристики конструктивные особенности используемых технических средств материалов и их свойства', 'опыт подготовки технических спецификаций технической части коммерческих предложений для клиентов', 'принимает участие в работе по совершенствованию документооборота на предприятии формулирует требования к содержанию и построению технической и организационно-распорядительной документации используемой в системе автоматизированного управления производством'];33
62;['высшее техническое или инженерное образование со специализацией в области информационных технологий автоматизированных систем управления системного анализа', 'высшее образование по направлению асу тп', 'высшее техническое образование в области асу тп', 'техническое/математическое образование ', 'высшее техническое образование в области автоматизации технологических процессов'];37
63;['опыт работы с 1с:pm', 'опыт работы в международных командах', 'желателен опыт тесной работы с командой разработчиков на java', 'опыт работы на площадках строительства (предпроектное обследование сбор исходных данных авторский надзор) ', 'желателен опыт работы в команде использовавшей методологию agile'];48
64;['управление проектами по разработке и внедрению по знание современных методов управления ит проектами знание scrum и kanban методологий', 'уверенный пользователь пк: отличные знания word excel visio powerpoint project erp систем', 'базовые знания в области управления проектами', 'знание английского языка на уровне ведения переговоров и деловой переписки чтения литературы - строго обязательно! ', 'разработка прикладного по для plc siemens (приветствуется знание др производителей контроллеров) щитов управления '];89
65;['работа в команде', 'опыт работы с типовыми конфигурациями: 1с:бухгалтерия 1с:ут', 'работа в команде разработчиков ', 'организация претензионной-исковой работы в ао «расу»'];43
66;['техническая документация', 'техническое обслуживание', 'актуализация пользовательской и технической документации', 'техническая грамотность'];82
67;['технические решения', 'участие в разработке технических решений при исполнении проекта а также создание новых продуктов и решений для более полного удовлетворения потребностей заказчика', 'участие в разработке технических решений по автоматизации и оптимизации рабочих процессов', 'создание пользовательской и технической документации'];30
68;['английский язык', 'уверенные пользователь пк и ms office (обязательны знания: ms word ms excel ms outlook ms visio ms power point ms project)', 'английский язык – upper intermediate', 'английский язык на уровне pre-intermediate и выше'];60
69;['участие в проведении обследования проектных организаций на предмет текущей автоматизации работ участие в формировании предложений по автоматизации проектной организации', 'проектная деятельность - разработка стратегий оптимизации планирование работ подготовка презентаций руководству компании предлагаемых решений', 'профессиональные компетенции: понимание современных технологий в построении web систем хорошие навыки управления сложными проектами и опыт внедрения этих проектов умение работать с большими объемами данных и аналитикой', 'умение рассматривать проектные спецификации административные и технические методы ведения работ инструкции по проектированию генпланы технологические схемы и информацию поставщика'];52
70;['опыт работы с системами мониторинга zabbix – считается плюсом', 'опыт работы в сфере промышленной автоматизации (обязательно)', 'опыт работы в системе автоматизированного прогнозирования', 'опыт работы от 3 лет по специальности в сфере промышленной автоматизации '];76
71;['опыт работы с оборудованием yokogawa приветствуется', 'опыт работы с инструментами описания и реинжиниринга бизнес-процессов: visio aris и тд', 'опыт работы с схд huawei ibm svc storwize v5000 v7000 v9000  ibm flash system серверами bullsequana bsrv k9000 (huawei blade server k9000) lenovo thinksystem sr650 технологии ibm spectrum virtualize ibm spectrum protect', 'опыт работы с 1с и системой erp класса'];39
72;['знание основ сетевого взаимодействия компьютеров вычислительной сети и общих принципы работы каналов передачи данных', 'знание и опыт разработки на pl/sql sql oracle', 'знание принципов работы с реляционными базами данных (mysql oracle)', 'опыт программирования и знание предметной области (электроника и проектирование печатных плат) - является дополнительным преимуществом'];46
73;['знание промышленных сетей и протоколов передачи данных', 'знание современных программно-аппаратных комплексов и систем резервного копирования', 'знание руководящих и нормативных документов касающиеся методов программирования и использования вычислительной техники при обработке информации знание нормативных актов и законов относящихся к ит и по', 'знание типовых конфигураций 1с'];61
74;['опыт успешной разработки и внедрения программных продуктов в тч erp в торгового-производственных компаниях', 'участие в изучении причин отказов и нарушений в работе оборудования возникновении несоответствий при исполнении проекта фиксация и ведение базы данных', 'опыт программирования на платформе 83 (нужно будет показать одну из выполненных разработок или пройти внутреннее тестирование) в том числе кандидат должен обладать опытом ведения коллективной разработки'];87
75;['успешный опыт внедрения цифровых проектов и решений', 'опыт участия в проекте(ах)в качестве гип', 'успешный практический опыт разработки и реализации ит проектов (все этапы)'];25
76;['опыт работы в кредитной / финансовой организации / консалтинге / ит компании не менее 3 лет', 'опыт работы с jira или подобной системой ', 'опыт работы в проектной организации не менее 5 лет'];59
77;['техническое сопровождение работы сотрудников проектных организаций в автоматизированных системах', 'участие в процессе разработки по в рамках работ по проектам', 'опыт составления проектной и технической документации'];15
78;['опыт групповой разработки опыт работы с хранилищем конфигурации', 'опыт работы на проектах в капитальном строительстве на объектах нефтегазодобывающих предприятий', 'опыт работы с разработкой монтажом эксплуатацией опс аспт'];65
79;['опыт работы с документацией (требования чтз тз)', 'работа с первичной документацией (акты выполненных работ счета-фактуры) заведение заявок на освоение платеж', 'опыт работы в проектах по автоматизации бизнес-процессов в ритейле – является преимуществом'];10
80;['командный игрок работа в качестве аналитика на проектах является преимуществом', 'опыт использования по для организации работы на проекте и учета артефактов проекта (ms project devprom redmine jira confluence и тп)', 'контроль работ на всех этапах проекта'];45
81;['опыт интеграции с внешними системами', 'представлять отчеты о состоянии документации и о прогрессе работ', 'опыт работы с пользователями (консультирование разработка анализ задач) обязательно'];97
82;['опыт коллективной разработки', 'опыт разработки по', 'опыт разработки пользовательских интерфейсов hmi scada '];53
83;['участвует в работе по отладке опытной эксплуатации и поэтапному введению в действие комплекса технических средств асуп', 'опыт разработки проектов на reactjs', 'опыт самостоятельной разработки проектов и сдачи их в эксплуатацию '];34
84;['выявление рисков грозящих проекту организация мероприятий по их устранению или минимизации влияния', 'разработка стандартов проектирования кхд'];42
85;['высшее профессиональное образование в области информационных технологий', 'высшее образование в области информационных технологий'];50
86;['опыт разработки интеграционных процедур с внешними системами', 'опыт участия в инфраструктурных проектах'];31
87;['приветствуется опыт работы с ml библиотеками в python', 'опыт работ с сапр (autocad magicad и др)'];79
88;['контроль проведения работ по бесперебойной и технически правильной эксплуатации и техническому обслуживанию средств комплексной автоматизации контрольно-измерительных приборов сопровождением программного обеспечения асутп систем противопожарной защиты', 'разработка проектов асу тп все специализированные работы связанные с программно-техническими комплексами управления технологическими процессами разработка алгоритмов управления технологическими процессами и создание сопутствующей документации'];57
89;['опыт управления группами разработчиков и консультантов', 'организация и контроль работы группы тестировщиков'];90
90;['применение лучших отраслевых практик обеспечение обмена знаниями для решения сложных бизнес-задач реализация решений беспрецендентных задач', 'знание стек технологий microsoft (включая sql framework net office exchange и тд) itil itsm шаблоны проектирования методологии ведения проектов и описания процессов'];72
91;['базовые знания решений по управлению предприятием производством современных it-решений (виртуализация облачные технологии ) (l3/l4 iot) ', 'знание технического английского'];64
92;['знание принципов администрирования ос windows работы и администрирования информационно-вычислительных сетей (домены права доступа пользователи)'];81
93;['знание архитектуры и принципов построения и работы систем асутп'];67
94;['опыт разработки на языке 1с от 3 лет (знание функционала на уровне специалиста по платформе)'];96
95;['работа с полевыми протоколами передачи данных profinet modbus profinet '];93
96;['знания и опыт работы с контроллерным оборудованием siemens '];75
97;['опыт управления и работы с ит проектами от 3-х лет'];86
98;['опыт работы в роли аналитика в проектах разработки и внедрения it-систем от 2 лет'];99
99;['знание архитектур компьютерных сетей знание протоколов передачи данных: industrial ethernet modbus profibus-dp и пр'];85
