;Required skill
456;портфельный менеджмент
457;высшее экономическое или техническое образование
458;опыт работы по направлению crm-деятельности или продуктовом подразделении в крупном банке не менее 2х лет
459;опыт работы по бизнес-направлениям: кредитные дебетовые и/или зарплатные карты развитие транзакционной активности карточных портфелей
460;опыт управления командой
461;уверенный пользователь msoffice
462;применение основных видов тестирования (функциональное модульное и тд)
463;взаимодействие с разработчиками и аналитиками
464;составление и заведение баг репортов в системе jira
465;разработка и актуализация тестовой документации
466;умение четко и грамотно излагать свои мысли в устной и письменной форме
467;базовые знания sql t-sql
468;консультация клиентов по входящим звонкам (пассивные продажи)
469;работа с текущей базой клиентов (исходящие звонки)
470;выставление счетов
471;контроль оплаты по выставленным счетам
472;запуск заказов в работу
473;обязателен опыт работы в продажах
474;желателен опыт в продажах программного обеспечения
475;желателен опыт работы с базой crm
476;навыки выявления потребностей презентации и работы с возражениями
477;ориентированность на результат
478;дисциплинированность стремление помогать клиенту
479;программирование на 1сv8х (упп erp)
480;доработка типовых и нетиповых конфигураций 1сv8х внесение изменений в типовые и нетиповые конфигурации
481;участие в проекте по разработке и внедрению дополнительных программных модулей в 1с
482;навыки настройки битрикс
483;тестирование разработанного функционала
484;обучение пользователей работе с разработанными механизмами
485;владение пк на уровне программиста
486;опыт в программировании на 1сv8x
487;опыт работы в соответствующей должности более 1 года
488;аналитические способности нацеленность на результат самостоятельность
489;высшее образование (экономическое техническое)
490;опыт работы на проектах внедрения sap в должности консультанта по модулю sap fi либо co от 2-х лет
491;коммуникабельность исполнительность умение самостоятельно принимать решения
492;умение работать в команде
493;работа в должности консультанта направлению fi/co на проектах полного цикла (от проведения предварительного обследования предприятия до загрузки данных и поддержки работы системы)
494;организация процесса технической поддержки пользователей распределенных по офисам в 2-х городах 
495;управление поставщиком услуг поддержки: 
496;контроль исполнения sla
497;анализ инцидентов проверка корректности их обработки совершенствование работы службы
498;организация и мониторинг процесса управления проблемами
499;создание базы знаний по продуктам и услугам ит 
500;разработка внутренних нормативных документов 
501;работа со сложными и нестандартными пользовательскими запросами 
502;участие в проектах инициированных центральным офисом oem-партнерами hq 
503;высшее образование 
504;английский не ниже upper-intermediate 
505;успешный опыт управления службой/отделом техподдержки пользователей программных продуктов и/или услуг от 3 лет 
506;опыт работы с системой sap 
507;навыки разработки sla и технической документации 
508;знание стандартов itil 
509;хорошие коммуникационные навыки ориентированность на интересы клиента организационные способности 
510;аналитический склад ума системность мышления 
511;при работе над crm регулярно возникают задачи по добавлению и изменению функционала в основном в виде пожеланий от пользователейпожелания бывают мелкие и конкретные (например добавить поле &quotномер карты&quot для поиска клиентов) а также большие и общие (например интеграция с платежными системами для онлайн-оплаты)
512;из общего списка задач выделяются приоритетные
513;на такие задачи вы оформляете тикеты (задания) для программистовв таких тикетах описываете:- что именно нужно конечному пользователю и зачем- логику работы добавляемого модуля или функции системы с точки зрения общего поведения и интерфейса (знание программного кода не требуется - задачу в коде описывает технический директор)- вид того как будет выглядеть новый модуль или опция и как именно они будут работать - прикладываете макет (нам неважно где и в каком редакторе будет отрисован макет - photoshop figma конструктор сайтов или word главное чтобы из него было понятно где и как будут размещены элементы интерфейса)
514;контролируете выполнение задания
515;после реализации проверяете как выполнен тикет
516;владеть логикой на &quotпять&quot (вам потребуется знать систему понимать логику ее работы а также придумывать логику новых элементов)
517;полезно знать основы проектирования интерфейсов (в дальнейшем возможен прием отдельного специалиста по интерфейсам)
518;уметь описывать задачи понятно и исчерпывающе
519;быть на связи и выполнять задачи в срок
520;прием входящих звонков 2-я линия
521;техническая помощь и консультация абонентов по техническим вопросам
522;обработка входящих и исходящих звонков обработка почты
523;консультирование абонентов по работе с настройками сетевого оборудования и вопросам доступа к сети
524;настройка программного обеспечения удаленно
525;локализация и мониторинг аварийных ситуаций на сети
526;участие в проектах внедрения и сопровождения в части: 
527;учет основных средств капительных вложений учет рбп (в случае реализации средствами модуля fi aa)
528;управление имуществом (при наличии компетенции)
529;консультирование/обучение пользователей по обращениям
530;взаимодействие с заказчиком для обследования бизнес-процессов уточнения постановки
531;разработка функциональных спецификация на расширение решений (проверки замещения пользовательские интерфейсы отчеты) сопровождение разработки тестирование подготовка инструкций пользователя взаимодействие с заказчиком по вопросам сдачи/приемки выполненной разработки
532;участие во внедрении новых бизнес-процессов в зоне функциональной ответственности
533;участие в интеграционных тестированиях смежных функциональных направлений
534;участие в подготовке и загрузке первоначальных остатков ( при необходимости)
535;ведения/актуализация ролей пользователей
536;высшее техническое ( профильное) или экономическое или бухгалтерское образование
537;работа с модулем sap fi aa 3-5 лет
538;знание стандартных настроек модуля и возможностей в части расширения функциональности
539;знание основных бизнес-процессов учета основных средств и капитальных вложений в части бухгалтерского (бу+ ну) учета и мсфо
540;опыт подготовки и ведения функциональных спецификаций для разработчиков
541;опыт внедрения проверок/замещений разработки пользовательских отчетов и интерфейсов пользователей
542;опыт работы с lsmw
543;коммуникабельность
544;руководство и управление проектами
545;взаимодействие с заказчиком
546;координация работы проектной команды из специалистов техподдержки и разработчиков
547;контроль сроков предоставления информации необходимой для выполнения проекта обеими сторонами (заказчик/исполнитель)
548;понимание и опыт формирования структуры проекта промежуточных и финальных результатов этапов методик планирования и контроля хода проекта
549;опыт ведения документации проекта
550;умение управлять бюджетом проекта
551;опыт руководства проектами erp с командой от 5 человек
552;знание 1с erp на уровне процессов будет преимуществом
553;опыт работы с любой системой учета задач
554;коммуникабельность конструктивность личная организованность умение работать в режиме многозадачности
555;участие в presales - создание и показ демонстрационных моделей основанных на требованиях потенциальных клиентов
556;боевым опытом работы в консалтинге по продажам
557;знанием бизнес-процессов b2b в сфере продаж
558;опытом внедрения crm системы (например microsoft dynamics crm/aх 1c:crm битрикс24 амо) - требование знания системы не является обязательным
559;успешным опытом внедрения коммерческих проектов в консалтинге
560;опыт работы с pos-терминалами будет плюсом
561;умением работать в команде
562;техническое образование (будет преимуществом)
563;активное развитие и рост чтобы стать профессионалом своего дела и заслужить доверие клиентов и коллег
564;поддержка существующего функционала и корректной работы системы
565;про-активный мониторинг всех ключевых параметров систем
566;разрешение инцидентов по заявкам и эффективная работа с запросами
567;управление распределением запросов и контроль скорости/качества ответов
568;оперативная диагностика причин неисправностей и своевременный анализ логов системы
569;взаимодействие с отделом разработки и тестирования для исправления багов обнаруженных у клиентов
570;общение с заказчиком по особенностям поведения и работы системы
571;ручное тестирование системы и исправленных разработчиками ошибок
572;готовность принимать ответственность за принятые решения и работать в интенсивном режиме
573;умение четко и логично формулировать мысли структурировать входящую информацию
574;хорошие коммуникативные навыки системное мышление стрессоустойчивость трудолюбие и мобильность
575;стремление и желание развиваться в области системного анализа
576;работа в центре столицы – рядом с метро тверская охотный ряд театральная
577;мы молоды и перспективны (работаем по гибкой методологии)
578;пятничная пицца с жарким обсуждением проектов
579;выполнение необходимых настроек внедряемого компонента (настройки пользовательские не требуют навыков программирования)
580;проведение инструктажа каждого пользователя по работе с внедряемым компонентом (по сути – обучение)
581;консультирование пользователей в процессе их дальнейшей самостоятельной работы с системой
582;сбор и передача данных о возникающих программных ошибках
583;ведение и подписание у пользователей отчетной документации
584;веб разработчик сайтов и интернет магазинов на различных конструкторах и платформах
585;создание дизайна и интерфейса
586;поиск информации о товаре
587;наполнение сайта / интернет магазина
588;продумывание логики и структуры сайтов
589;координация процессов создания landing page корпоративных сайтов и интернет магазинов
590;контроль сроков и бюджетов создания сайтов
591;понимание всех современных технологий создания сайта
592;логическое мышление
593;опыт управления крупными проектами по внедрению crm-систем от 2 лет
594;опыт проведения интервью анализа данных подготовки и проведения презентаций подготовки отчетов постановки тз
595;высококвалифицированный пользователь продуктов microsoft office (в том числе ms project)
596;управление проектами по внедрению ms dynamics crm (управление содержанием сроками бюджетом ресурсами рисками изменениями проекта)
597;обеспечение комфортного рабочего процесса для проектной команды
598;поддержание и развитие взаимоотношений с клиентом обеспечение позитивного референса для процесса продаж
599;подготовка необходимых проектных документов и отчетов (рамки проекта устав проекта отчет по статусу проекта и др)
600;осуществление доработок в соответствии с требованиями бизнеса оформление тз для разработчиков тестирование реализованного функционала
601;обучение и поддержка пользователей по crm
602;разработка и актуализация инструкций и регламентов по crm и другим программам
603;формирование отчетности на основании данных из crm
604;внедрение конфигурации 1с:erp на предприятиях группы компаний
605;участие в разработке архитектуры проектных решений после обсуждения задач с бизнес-заказчиком
606;выстраивание работы и взаимодействий внутренней команды разработки и сопровождения системы 1с:erp
607;взаимодействие с внешними подрядчиками по автоматизации бизнес-процессов на базе платформы 1с
608;непосредственное программирование ключевых разработок в рамках проекта (минимально)
609;ведение проекта на всех стадиях:
610;в перспективе - ведение проектов по внедрению других систем на платформе 1с 8
611;наставничество по ряду направлений развития для программистов
612;профильное высшее образование
613;подтвержденный опыт внедрения 1с:erp на производственном предприятии в качестве руководителя проекта или архитектора
614;знание основных подсистем 1с:erp 24 и предметных областей (производственный учет торгово-складской учет расчет зарплаты и кадровый учет бухгалтерский и налоговый учет)
615;портфолио отдельных выполненных проектов где кандидат принимал участие как рп или архитектор
616;опыт использования по для организации работы на проекте и учета артефактов проекта (ms project devprom redmine jira confluence и тп)
617;опыт программирования на платформе 83 (нужно будет показать одну из выполненных разработок или пройти внутреннее тестирование) в том числе кандидат должен обладать опытом ведения коллективной разработки
618;высокая коммуникабельность и клиентоориентированность при взаимодействии с бизнес-заказчиком
619;умение выявлять реальные потребности бизнеса и предлагать оптимальные ит-решения для этих задач
620;умение организовывать и мотивировать команду
621;желание и умение работать в команде не индивидуалист! высокий уровень самоорганизации инициативности активности ориентации на результат обучаемости
622;анализ смс email-рассылок и других каналов персональной коммуникации
623;анализ и сегментация базы клиентов компании разработка рекомендаций по работе с сегментами клиентов
624;настройка сценариев отбора клиентов для персональных целевых коммуникаций (sms email push)
625;разработка и реализация отчетности для отслеживания поведения клиентских сегментов на регулярной основе
626;анализ динамики развития клиентской базы
627;проведение анализа и подготовка заключения об эффективности прошедших целевых промоакций прогноз эффекта от будущих
628;оптимизация отчетности подразделения и постановка задач в it
629;самостоятельно разобраться в новом процессе
630;выстроить коммуникацию с клиентом
631;организовать отчётность по данному направлению
632;профессиональное знание excel sql access
633;грамотные письменные и устные коммуникации
634;саморазвитие в профессиональной деятельности
635;образование – законченное высшее техническое экономическое или в сфере управления проектами
636;ответственность коммуникабельность инициативность исполнительность умение быстро осваивать новые области знаний ориентированность на результат и работу в команде
637;внимательность к деталям стрессоустойчивость
638;опыт договорной работы и работы с документацией
639;умение быстро обучаться структурировать и систематизировать информацию
640;ответственность и инициативность умение быстро осваивать новые области знаний ориентированность на результат
641;английский язык на уровне upper-intermediate и выше
642;ведение единой системы отчетности и базы проектной деятельности компании
643;ведение договорного документооборота: регистрация обработка и хранение договоров отчетных документов
644;работа в базе данных: обучение сотрудников отдела коммерции работе в программе контроль внесения информации
645;контроль внесения информации в базу данных crm
646;анализ коммерческих данных
647;подготовка отчетности для отдела коммерции
648;работа с аналитическими таблицами продаж ( сводные таблицы сортировкигруппировки впр макросы)
649;работа с базой данных клиента ( заведение нового клиента актуализация информации о клиенте прикрепление рекламных материалов к программе)
650;отличное знание microsoft office (word excel outlook)
651;высокий уровень самоорганизации и ответственности внимательность педантичность
652;аналитический склад ума опыт работы с большим объемом информации
653;стрессоустойчивость здоровый трудоголизм
654;внимательность
655;желателен опыт работы администратором по учету продаж бухгалтером-операционистом (не менее 1 года)
656;разработка и поддержка по на платформе 1с 83 для проектов компании
657;участие во внедрениях по на проектах
658;образование: не ниже среднего специального (техническое)
659;опыт работы в аналогичной должности от 1 года
660;знание механизмов работы управляемых форм: создание настройка понимание режима &quotклиент-сервер&quot
661;знание библиотеки стандартных подсистем системы компоновки данных
662;навыки создания расширений конфигурации
663;знание конфигурации 1с:зуп и базовые знания предметной области по учету зарплаты
664;умение работать в команде обучаемость ответственность самостоятельность готовность к командировкам
665;веб разработчик сайтов и интернет магазинов на различных конструкторах и платформах
666;создание дизайна и интерфейса
667;поиск информации о товаре
668;наполнение сайта / интернет магазина
669;продумывание логики и структуры сайтов
670;координация процессов создания landing page корпоративных сайтов и интернет магазинов
671;контроль сроков и бюджетов создания сайтов
672;понимание всех современных технологий создания сайта
673;логическое мышление
674;консультирование клиентов по телефону либо в офисе
675;посещение объекта клиента совместно с техническим специалистом (аудит заполнение анкетных данных)
676;обработка анкет и составление коммерческих предложений совместно с проектным отделом защита коммерческих предложений
677;обработка возражений потенциального заказчика
678;заключение договора
679;опыт работы в продажах систем отопления (котлы система отопления: радиаторы теплый пол)
680;коммуникабельность и знание деловой литературы
681;наличие финансовой цели на 2020 год
682;опыт работы в crm системе (битрикс amocrm)
683;знание города
684;опыт работы в коллективе
685;руководство проектом в рамках спланированного оперативного плана (1-2 недели) 
686;участие в проведение ключевых и статусных встреч включая управляющие комитеты с заказчиком 
687;подготовка отчетности для контроля производственных и финансовых показателей проекта 
688;подготовка регулярной проектной отчетности 
689;изучение стандартов и best-practice компании 
690;заработная плата без задержек 2 раза в месяц индексация по результатам работы
691;разработка доработка обновление и оптимизация типовых и не типовых конфигураций на базе платформ 1с 82-83 erp
692;создание модификации объектов конфигурации 1с бу ну уу
693;техническая поддержка (копирование решение вопросов пользователей блокировка восстановление баз и пр)
694;администрирование 1с (82-83) erp
695;оптимизация производительности бд
696;создание технической документации
697;аналогичный опыт работы от 3-х лет
698;знание конфигураций 1с 83 1с 82 1с:erp управление предприятием
699;знание электронного документооборота edi контур
700;умение автоматизировать процессы
701;высокая степень ответственности - быть на связи 5/2 8 ч в день
702;разработка и реализация it-стратегии компании
703;организация it инфраструктуры для обеспечения бесперебойной работы всех процессов компании
704;анализ трендов по цифровизации и их прикладное использование для бизнес-процессов компании
705;внедрение и сопровождение всех программных продуктов
706;разработка внедрение и сопровождение политики информационной безопасности
707;оперативное управление департаментом
708;формирование годовых и оперативных планов подразделения подготовка отчетов
709;управление it-бюджетом
710;организация закупок it
711;образование - высшее профильное
712;общий стаж в it - не менее 7 лет опыт работы на должности директора департамента it 3 года
713;опыт успешной разработки и внедрения программных продуктов в тч erp в торгового-производственных компаниях
714;знания подходов и технологий в области цифровизации
715;успешный опыт внедрения цифровых проектов и решений
716;базовое понимание основных языков разработки
717;прагматичный подход к решению задач пунктуальность ответственность стрессоустойчивость коммуникабельность способность быстро воспринимать новые идеи и знания
718;высшее техническое образование
719;опыт работы программистом 1с от 3-х лет
720;опыт внедрения систем 1с автоматизации внутренней деятельности и бизнес-процессов компании
721;уверенные знания платформы и средств разработки 1с:предприятие 83
722;отличные знания языка запросов и скд
723;опыт разработки управляемого приложения (управляемые формы)
724;опыт разработки механизмов интеграции 1с с другими системами (xml com web-сервисы конвертация)
725;уверенные знания предметных областей: rls управляемые блокировки
726;опыт и навыки в качестве дополнительных преимуществ: наличие сертификатов 1с
727;опыт работы в качестве менеджера проектов от 2 лет
728;уровень английского не ниже intermediate
729;опыт работы с командой по одной из гибких методологий
730;опыт работы с таск-трекерами
731;прекрасное владение русским языком и умение чётко излагать свои мысли в письменном виде
732;поддержка руководства при подготовке и проведению маркетинговых мероприятий (семинаров выставок работа с отраслевой прессой рассылка электронных сообщений)
733;координация маркетинговых мероприятий с центральным офисом в германии 
734;поддержка и организация телефонных звонков
735;поддержка при переводе маркетинговых материалов внутренних документов текстов на сайте
736;поддержка в переводе при проведении международных семинаров
737;поддержка при составлении и переводе проектных документов
738;отличные знания немецкого и/или английского языков обязательны (свободное владение)! 
739;опыт работы в сфере маркетинга продаж
740;опыт работы в пищевой отрасли приветствуется
741;интерес и готовность к перспективе работать в продажах (ит-проекты в пищевой отрасли)
742;готовность к нечастым и недлительным командировкам как по россии так и за рубежом
743;общительность открытость пунктуальность трудоспособность
744;разработка и поддержка проектов на cms 1с-битрикс
745;разработка не стандартного функционала‚ написание новых модулей компонентов api
746;работа с git
747;обязателен опыт разработки на битрикс не менее 1 года
748;уверенное знание php и mysql‚ html‚ css‚ javascript (jquery‚ ajax)
749;умение разбираться в чужом коде‚ скорость и качество работы
750;участие в проектах полного цикла по внедрению роботизированной автоматизации процессов
751;описание бизнес-процессов
752;настройка и тестирование роботов
753;участие в развитии практики в том числе в пресейл-активностях
754;не менее двух лет опыта работы в области внедрения информационных систем
755;знание процессов как минимум одной функциональной области (финансы учет hr логистика)
756;опыт описания бизнес-процессов
757;отличные коммуникационные навыки
758;минимум ошибок в период запуска программного продукта в опытную эксплуатацию
759;управление вверенными проектами автоматизации бизнес-процессов компании
760;составление и согласование проектной документации (анкета проекта тз кпг) участие в защите проекта
761;постановка и контроль выполнения задач участниками проекта
762;поиск программных средств автоматизации бизнес-процесса проекта
763;переговоры с вендорами поставщиками услуг автоматизации
764;проектирование новых информационных систем: модель данных функциональная модель техническое задание
765;организация разработки информационных систем участие в первичном тестировании
766;подтверждённый опыт управления от 5 лет опыт работы в производственно-торговых компаниях
767;опыт руководства ит отделом (системные администраторы программисты и др)
768;свободное владение английским языком
769;умение выстраивать взаимоотношения в командах внешних и внутренних разработчиков по
770;умение выстраивать коммуникации между сотрудниками и ит специалистами (быть что называется переводчиком)
771;опыт работы с 1с
772;готовность брать ответственность за предлагаемые решения сроки и качество
773;образование высшее техническое
774;инициация проекта
775;планирование
776;контроль выполнения работ согласно плана (настройка системы)
777;организация работы подрядчика
778;формирование статусов
779;аналитика по работе в системе
780;опыт внедрения crm (любая платформа) и интеграции с телефонией
781;знание процессов продаж
782;крайне желателен опыт работы с 1с8
783;консультационная поддержка пользователей типовых программных продуктов и отраслевых решений на базе платформы 1с:предприятие 83 (в основном: ут 103/11 ка унф crm от раруса) 
784;установка обновление и настройка типового функционала 
785;обучение пользователей 
786;анализ и исправление ошибок пользователей 
787;изучение учебно-методической литературы от фирмы 1с 
788;тестирование 
789;разработка инструкций 
790;анализ задач составление и согласование тз с заказчиком 
791;осуществление второго и третьего уровня поддержки системы клиента в модуле ewm
792;осуществление доработок системы клиента в модуле ewm
793;оценка продолжительности работ написание концепт-документа реализация тестирование документирование запросов на изменение (change requests) системы клиента и ее компонентов
794;опыт работы в модуле ewm от 2-х лет
795;английский не ниже pre-intermediate
796;разработка и прототипирование приложений с использованием машинного обучения в том числе с использованием результатов самых последних исследований
797;сбор и подготовка данных для обучения моделей
798;участие в разработке etl-процессов
799;высшее техническое образование
800;знания статистики
801;знания python
802;знания основных принципов ml и базовых библиотек (на python)
803;знания основ sql и базовых принципов построения реляционных бд/хд опыт работы с ms sql postgresql
804;умение работать с git
805;методологическое описание бизнес процессов компании/ группы компаний в целях проектирования/ реорганизации и оптимизации бизнес-процессов
806;разработка внутренних нормативных документов корпоративного проектного офиса
807;комплексный анализ потребностей в методологической документации алгоритмах стандартах обучающих материалах
